 ,Area
1,61.947
2,27.440
3,44.901
4,51.553
5,32.013
6,24.114
7,23.282
8,51.969
9,35.339
10,27.440
11,31.597
12,32.013
13,24.529
14,25.777
15,27.440
16,24.945
17,25.777
18,18.709
19,37.833
20,45.317
21,52.800
22,37.002
23,25.361
24,41.575
25,19.125
26,28.687
27,41.159
28,22.451
29,54.879
30,38.249
31,50.722
32,20.788
33,32.013
34,33.260
35,50.306
36,54.048
37,37.418
38,31.181
39,22.451
40,29.934
41,45.317
42,29.934
43,18.293
44,23.698
45,34.507
46,25.777
47,54.463
48,34.507
49,51.137
50,39.081
51,21.619
52,34.923
53,27.855
54,24.114
55,32.429
56,24.114
57,18.293
58,26.192
59,41.159
60,25.777
61,33.676
62,39.496
63,26.608
64,37.418
65,26.608
66,20.788
67,24.945
68,29.103
69,22.035
70,28.271
71,28.687
72,20.788
73,19.125
74,21.203
75,33.260
76,44.901
77,21.619
78,33.676
79,24.529
80,31.597
81,51.969
82,27.024
83,31.181
84,27.440
85,20.788
86,24.114
87,41.575
88,25.361
89,29.103
90,26.192
91,28.687
92,21.203
93,22.451
94,36.586
95,46.564
96,15.799
97,27.440
98,16.214
99,26.608
100,23.282
101,20.372
102,38.249
103,30.350
104,23.282
105,19.125
106,30.766
107,35.755
108,22.035
109,18.293
110,22.451
111,23.698
112,31.597
113,40.744
114,32.013
115,12.057
116,32.429
117,24.529
118,40.328
119,16.630
120,34.092
121,46.564
122,17.046
123,44.070
124,30.350
125,43.238
126,41.159
127,23.698
128,28.271
129,24.945
130,18.709
131,20.788
132,23.698
133,23.282
134,25.361
135,28.271
136,32.013
137,27.024
138,29.934
139,20.372
140,22.035
141,27.440
142,19.956
143,29.518
144,21.203
145,17.046
146,24.114
147,39.496
148,17.046
149,49.474
150,23.698
151,15.383
152,23.282
153,27.024
154,27.024
155,30.766
156,20.788
157,19.956
158,32.429
159,48.227
160,29.103
161,28.271
162,51.137
163,24.114
164,32.844
165,28.687
166,24.114
167,78.993
168,16.630
169,16.630
170,29.103
171,42.822
172,47.396
173,17.462
174,25.361
175,12.057
176,21.203
177,20.788
178,25.361
179,42.822
180,39.081
181,13.720
182,29.934
183,16.630
184,22.866
185,21.619
186,27.440
187,19.956
188,37.418
189,23.282
190,17.877
191,44.485
192,49.059
193,21.619
194,30.766
195,25.361
196,19.125
197,35.755
198,14.551
199,27.440
200,48.643
201,22.451
202,27.440
203,19.956
204,36.586
205,30.350
206,32.844
207,32.429
208,30.766
209,17.462
210,11.225
211,11.225
212,21.203
213,40.328
214,33.260
215,23.282
216,21.203
217,20.372
218,20.788
219,24.114
220,32.844
221,22.451
222,39.081
223,12.888
224,28.687
225,22.451
226,32.844
227,35.755
228,24.114
229,39.912
230,17.046
231,35.755
232,36.586
233,22.035
234,30.350
235,29.103
236,25.361
237,15.799
238,52.800
239,29.518
240,26.192
241,29.518
242,25.361
243,30.350
244,22.451
245,25.777
246,30.350
247,24.529
248,22.866
249,14.967
250,24.529
251,30.350
252,19.540
253,22.035
254,38.665
255,44.070
256,29.103
257,24.114
258,31.597
259,23.698
260,27.855
261,40.328
262,20.372
263,32.429
264,47.396
265,43.238
266,43.654
267,18.293
268,24.114
