 ,Area
1,19.540
2,24.529
3,15.799
4,27.855
5,27.855
6,39.912
7,21.203
8,22.451
9,12.888
10,25.361
11,37.833
12,32.013
13,19.125
14,21.203
15,22.035
16,24.529
17,24.945
18,44.070
19,21.203
20,21.203
21,19.125
22,33.260
23,16.630
24,39.496
25,19.956
26,33.676
27,17.877
28,24.945
29,17.877
30,26.608
31,16.630
32,31.597
33,18.293
34,32.013
35,24.945
36,41.575
37,16.214
38,22.866
39,21.203
40,30.350
41,23.698
42,23.698
43,22.451
44,24.114
45,19.125
46,22.035
47,30.766
48,22.035
49,30.766
50,21.203
51,25.361
52,22.035
53,38.665
54,18.709
55,32.013
56,29.103
57,29.934
58,19.956
59,24.114
60,36.170
61,17.877
62,19.540
63,22.451
64,23.698
65,26.608
66,33.676
67,41.159
68,15.383
69,20.372
70,39.496
71,34.923
72,24.529
73,26.608
74,23.698
75,37.418
76,30.766
77,22.035
78,22.035
79,34.507
80,15.799
81,46.980
82,37.002
83,29.934
84,28.271
85,19.125
86,44.070
87,18.709
88,25.777
89,34.507
90,29.518
91,13.720
92,40.744
93,24.529
94,26.608
95,31.597
96,22.866
97,43.654
98,29.518
99,18.293
100,21.203
101,30.350
102,19.956
103,38.249
104,23.282
105,23.698
106,22.866
107,19.125
108,32.013
109,21.203
110,19.125
111,17.877
112,39.496
113,25.777
114,27.024
115,19.956
116,18.709
117,16.214
118,25.777
119,31.181
120,19.540
121,26.192
122,27.855
123,37.002
124,24.529
125,31.597
126,27.440
127,41.991
128,39.081
129,22.866
130,22.451
131,22.451
132,21.619
133,28.271
134,29.518
135,19.540
136,23.282
137,17.877
138,14.967
139,22.866
140,41.575
141,26.608
142,24.529
143,22.035
144,18.293
145,31.597
146,19.956
147,24.114
148,24.114
149,29.103
150,28.271
151,79.824
152,29.934
153,45.733
154,22.035
155,38.665
156,15.799
157,29.934
158,23.698
159,20.372
160,26.192
161,22.035
162,14.967
163,30.766
164,44.485
165,42.822
166,44.901
167,23.698
168,24.114
169,29.934
170,20.788
171,34.923
172,45.733
173,37.418
174,18.293
175,29.934
176,15.383
177,23.282
178,37.833
179,35.339
180,19.956
181,19.956
182,25.777
183,24.529
184,22.451
185,45.733
186,29.934
187,22.866
188,21.203
189,45.733
190,23.698
191,24.529
192,31.181
193,21.619
194,32.429
195,20.372
196,26.608
197,15.383
198,22.866
199,21.619
200,18.709
201,20.372
202,20.788
203,33.260
204,41.991
205,32.013
206,35.755
207,17.877
208,38.249
209,32.429
210,29.103
211,18.293
212,36.170
213,27.440
214,20.372
215,28.687
216,25.777
217,38.665
218,24.945
219,27.440
220,22.451
221,13.720
222,17.462
223,21.203
224,20.372
225,42.407
226,22.035
227,36.170
228,24.529
229,34.507
230,22.451
231,18.293
232,29.103
233,25.777
234,42.822
235,19.540
236,24.945
237,49.059
238,21.619
239,21.619
240,22.451
241,26.192
242,19.956
243,27.440
244,18.709
245,28.271
246,24.529
247,23.698
248,24.945
249,27.024
250,34.092
251,20.788
252,41.575
253,31.597
254,32.429
255,32.429
256,17.877
257,28.687
258,24.945
259,20.372
260,43.238
261,36.586
262,29.103
263,20.788
264,31.597
265,25.361
266,23.282
267,22.035
268,27.855
269,23.698
270,27.024
271,23.698
272,23.282
273,43.238
274,21.619
275,29.518
276,33.260
277,18.293
278,23.282
279,32.429
280,35.339
281,17.877
282,17.046
283,41.991
284,25.777
285,26.608
286,20.372
287,32.013
288,38.249
289,33.260
290,35.755
291,24.945
292,34.092
293,37.418
294,44.070
295,22.451
296,21.203
297,26.608
298,22.866
299,24.114
300,28.271
301,37.833
302,29.103
303,22.451
304,20.372
305,34.092
306,20.788
307,21.619
308,21.619
309,38.665
310,21.203
311,20.788
312,26.608
313,36.170
314,22.035
315,23.282
316,53.216
317,28.687
318,43.238
319,32.844
320,29.103
321,28.687
322,28.687
323,40.744
324,22.451
325,34.507
326,24.945
327,23.282
328,32.013
329,24.114
330,28.271
331,23.698
332,44.901
333,38.665
334,31.597
335,30.350
336,61.115
337,37.418
338,24.945
339,19.956
340,49.059
341,30.350
342,21.203
343,24.945
344,29.103
345,32.844
346,16.214
347,16.214
348,23.698
349,59.868
350,43.238
351,27.440
352,26.608
353,32.844
354,25.361
355,30.766
356,28.271
357,23.698
358,39.081
359,41.991
360,22.451
361,17.462
362,37.002
363,19.540
364,44.485
365,19.125
366,46.980
367,19.956
368,19.540
369,28.271
370,24.945
371,19.125
372,31.181
373,26.192
374,23.698
375,30.350
376,22.866
377,41.159
378,22.451
379,21.203
380,24.114
381,32.844
382,21.619
383,31.597
384,20.788
385,29.103
386,32.429
387,46.148
388,41.575
389,48.227
390,32.013
391,38.249
392,18.709
393,21.619
394,22.866
395,27.855
396,29.934
397,30.350
398,22.866
399,25.777
400,32.429
401,26.192
402,35.755
403,23.282
404,42.822
405,43.238
406,23.698
407,33.676
408,25.361
409,38.665
410,30.766
411,25.777
412,18.293
413,21.203
414,21.619
415,23.698
416,32.429
417,40.744
418,34.923
419,28.271
420,22.451
421,22.451
422,31.181
423,52.800
424,28.687
425,34.507
426,38.665
427,22.035
428,25.361
429,50.722
430,40.328
431,34.092
432,21.203
433,22.866
434,31.181
435,23.698
436,18.709
437,32.013
438,41.991
439,23.698
440,39.496
441,22.866
442,29.103
443,27.024
444,22.035
445,33.676
446,29.934
447,40.328
448,24.945
449,27.024
450,27.440
451,30.350
452,30.350
453,44.901
454,28.271
455,43.654
456,31.597
457,41.991
458,27.440
459,27.440
460,25.777
461,30.350
462,38.249
463,24.945
464,23.282
465,41.159
466,34.923
467,28.687
468,25.777
469,34.507
470,32.429
471,41.575
472,21.619
473,34.923
474,34.092
475,32.429
476,27.024
477,23.282
478,33.260
479,29.934
480,41.159
481,23.282
482,39.496
483,48.643
484,23.698
485,43.654
486,36.170
487,50.306
488,37.002
489,37.002
490,40.744
491,30.350
492,32.013
493,25.777
494,26.192
495,44.485
496,49.474
497,51.137
498,38.665
499,25.361
500,38.665
501,39.496
502,29.518
503,27.024
504,30.766
505,41.575
506,37.002
507,46.980
508,35.755
509,37.002
510,23.282
511,38.249
512,30.766
