 ,Area
1,51.969
2,22.451
3,21.203
4,25.361
5,46.148
6,24.529
7,44.070
8,37.002
9,27.855
10,47.396
11,31.597
12,30.350
13,19.540
14,20.372
15,47.811
16,25.361
17,17.877
18,19.956
19,32.844
20,30.766
21,32.429
22,35.755
23,42.407
24,18.293
25,17.877
26,43.654
27,39.912
28,30.350
29,49.474
30,23.698
31,41.991
32,38.665
33,35.339
34,36.586
35,44.901
36,33.676
37,34.092
38,28.687
39,45.733
40,17.877
41,40.328
42,24.114
43,40.744
44,24.529
45,19.125
46,35.339
47,38.249
48,19.540
49,17.462
50,19.540
51,32.429
52,31.597
53,34.092
54,24.114
55,30.350
56,24.945
57,23.282
58,38.249
59,25.777
60,21.619
61,28.271
62,30.350
63,19.956
64,19.540
65,16.630
66,26.192
67,38.249
68,21.619
69,24.945
70,15.383
71,35.755
72,40.744
73,24.529
74,22.866
75,22.035
76,21.619
77,18.709
78,56.126
79,18.709
80,22.035
81,25.361
82,28.687
83,24.114
84,22.866
85,39.081
86,18.293
87,44.070
88,23.282
89,38.249
90,46.564
91,18.709
92,45.317
93,29.518
94,20.372
95,28.687
96,25.777
97,26.192
98,46.980
99,39.081
100,39.496
101,10.394
102,23.698
103,46.980
104,23.282
105,22.035
106,29.518
107,25.777
108,26.192
109,22.866
110,20.372
111,21.203
112,44.070
113,19.956
114,29.934
115,19.125
116,40.744
117,35.755
118,47.811
119,53.632
120,28.687
121,14.551
122,39.081
123,33.676
124,48.643
125,34.923
126,38.249
127,29.518
128,23.698
129,45.317
130,20.372
131,18.293
132,24.945
133,31.181
134,38.665
135,27.440
136,23.698
137,34.092
138,19.956
139,29.518
140,21.619
141,43.238
142,23.282
143,30.350
144,32.844
145,26.608
146,38.665
147,19.956
148,39.081
149,22.035
150,33.676
151,39.081
152,31.597
153,10.394
154,30.350
155,58.621
156,20.788
157,47.811
158,19.125
159,34.092
160,28.271
161,27.024
162,37.002
163,41.575
164,18.709
165,22.866
166,36.586
167,46.148
168,32.429
169,27.855
170,29.518
171,31.181
172,19.956
173,50.722
174,33.676
175,52.385
176,35.339
177,37.418
178,22.035
179,24.529
180,40.328
181,22.035
182,44.070
183,36.170
184,13.304
185,52.385
186,22.035
187,54.879
188,58.621
189,35.339
190,22.866
191,34.092
192,47.396
193,27.855
194,32.429
195,22.866
196,32.844
197,34.507
198,37.418
199,35.755
200,42.822
201,21.619
202,37.418
203,12.057
204,32.013
205,22.866
206,36.586
207,32.429
208,30.350
209,19.125
210,24.529
211,39.496
212,30.350
213,44.070
214,30.766
215,22.451
216,39.496
217,29.518
218,33.676
219,34.923
220,36.586
221,23.698
222,11.225
223,46.564
224,51.553
225,37.833
226,34.092
227,47.396
228,37.418
229,24.529
230,37.418
231,36.586
232,52.800
233,39.081
234,29.103
235,25.361
236,29.518
237,26.192
238,23.698
239,29.518
240,63.194
241,32.013
242,28.687
243,24.114
244,40.744
245,31.597
246,39.496
247,12.057
