 ,Area
1,34.507
2,11.641
3,12.057
4,27.024
5,18.293
6,23.282
7,39.496
8,10.394
9,10.810
10,33.676
11,26.192
12,10.810
13,17.046
14,15.799
15,14.967
16,21.619
17,20.788
18,14.967
19,13.720
20,15.383
21,29.934
22,17.462
23,14.967
24,11.641
25,14.551
26,18.293
27,29.103
28,26.192
29,25.361
30,22.866
31,17.462
32,11.225
33,16.214
34,43.238
35,14.551
36,18.709
37,45.317
38,17.046
39,13.720
40,39.496
41,12.888
42,26.608
43,27.440
44,46.148
45,17.046
46,25.777
47,15.383
48,22.035
49,27.855
50,27.855
51,32.844
52,13.304
53,24.529
54,16.214
55,16.630
56,19.125
57,32.429
58,18.293
59,38.249
60,17.462
61,49.059
62,24.529
63,24.114
64,29.518
65,14.136
66,19.125
67,12.057
68,27.024
69,42.822
70,13.720
71,11.641
72,32.013
73,40.744
74,17.877
75,32.013
76,16.630
77,22.451
78,15.799
79,12.057
80,17.046
81,15.799
82,12.473
83,15.799
84,17.046
85,23.282
86,14.967
87,33.676
88,52.385
89,10.810
90,13.720
91,17.046
92,24.945
93,12.473
94,13.720
95,15.383
96,23.698
97,18.709
98,27.440
99,12.057
100,11.641
101,15.383
102,18.293
103,13.304
104,17.877
105,12.888
106,14.136
107,13.304
108,14.967
109,37.418
110,12.473
111,11.225
112,40.744
113,19.956
114,31.181
115,23.698
116,16.630
117,11.225
118,14.551
119,12.057
120,14.551
121,18.709
122,26.608
123,27.855
124,52.800
125,15.383
126,41.575
127,11.225
128,12.473
129,19.540
130,12.888
131,14.967
132,13.720
133,12.473
134,29.518
135,14.967
136,25.777
137,16.630
138,24.114
139,19.956
140,14.551
141,19.540
142,14.136
143,44.485
144,17.462
145,29.103
146,22.035
147,13.720
148,19.125
149,38.249
150,10.810
151,14.136
152,21.203
153,10.810
154,10.810
155,40.744
156,24.945
157,18.293
158,30.766
159,22.451
160,17.046
161,13.720
162,47.811
163,16.214
164,19.956
165,45.317
166,25.777
167,16.630
168,14.136
169,16.214
170,12.057
171,15.799
172,21.203
173,11.641
174,16.214
175,14.967
176,11.641
177,11.225
178,48.643
179,10.394
180,27.440
181,17.046
182,12.057
183,36.586
184,28.271
185,16.214
186,13.304
187,17.877
188,16.630
189,14.551
190,17.462
191,12.473
192,24.529
193,11.641
194,11.641
195,12.473
196,17.046
197,21.203
198,28.271
199,31.597
200,17.877
201,13.720
202,24.114
203,15.383
204,13.720
205,13.720
206,14.136
207,10.394
208,35.755
209,14.136
210,17.462
211,29.103
212,15.799
213,28.271
214,17.046
215,21.619
216,17.462
217,14.967
218,23.698
219,11.641
220,14.967
221,21.203
222,12.888
223,24.945
224,22.866
225,29.934
226,22.035
227,13.720
228,14.551
229,16.630
230,19.125
231,29.103
232,14.136
233,17.046
234,33.260
235,22.035
236,13.304
237,14.967
238,19.956
239,10.394
240,30.350
241,14.967
242,22.451
243,12.057
244,25.777
245,18.293
246,16.214
247,29.103
248,19.540
249,17.877
250,31.597
251,17.462
252,21.203
253,16.214
254,10.810
255,21.619
256,13.304
257,11.225
258,15.383
259,24.114
260,27.855
261,21.619
262,23.698
263,33.676
264,35.339
265,17.046
266,15.799
267,14.136
268,27.440
269,14.967
270,18.709
271,15.799
272,19.125
273,19.125
274,12.473
275,32.013
276,12.473
277,17.877
278,34.092
279,21.203
280,13.304
281,19.956
282,19.540
283,26.608
284,20.788
285,43.238
286,17.462
287,33.676
288,21.619
289,11.225
290,22.035
291,24.945
292,17.046
293,17.462
294,30.350
295,12.888
296,20.372
297,14.967
298,19.956
299,15.799
300,19.125
301,15.383
302,12.057
303,49.474
304,10.394
305,13.720
306,17.046
307,22.866
308,15.799
309,50.722
310,25.361
311,10.810
312,20.372
313,10.810
314,17.462
315,27.855
316,23.282
317,17.877
318,27.024
319,16.630
320,11.641
321,47.396
322,33.260
323,11.641
324,18.709
325,18.293
326,38.665
327,32.429
328,24.529
329,31.597
330,19.540
331,14.967
332,17.462
333,28.271
334,15.383
335,15.383
336,13.720
337,19.540
338,24.945
339,13.720
340,12.888
341,33.676
342,28.271
343,17.046
344,18.293
345,22.451
346,13.304
347,20.788
348,20.372
349,26.192
350,29.518
351,27.855
352,15.383
353,17.462
354,39.496
355,12.888
356,16.214
357,48.643
358,21.203
359,34.507
360,12.473
361,24.114
362,12.888
363,11.641
364,23.282
365,14.551
366,11.225
367,20.372
368,10.810
369,24.529
370,12.473
371,14.551
372,37.418
373,27.855
374,16.214
375,38.665
376,22.866
377,36.170
378,10.394
379,26.608
380,13.304
381,16.630
382,27.855
383,17.877
384,32.013
385,10.810
386,18.293
387,29.518
388,15.799
389,17.046
390,13.720
391,15.799
392,12.888
393,24.945
394,14.551
395,12.888
396,26.608
397,22.866
398,14.551
399,26.608
400,17.462
401,12.057
402,19.540
403,19.540
404,42.407
405,40.744
406,20.788
407,11.225
408,35.339
409,18.709
410,19.540
411,20.372
412,17.877
413,13.720
414,12.057
415,19.540
416,32.013
417,10.394
418,19.125
419,11.225
420,30.350
421,14.551
422,13.720
423,37.833
424,13.304
425,12.888
426,10.810
427,12.473
428,17.462
429,44.901
430,37.418
431,20.372
432,21.203
433,16.630
434,14.967
435,14.551
436,18.293
437,16.630
438,15.799
439,20.788
440,10.394
441,19.956
442,12.473
443,13.720
444,17.046
445,27.440
446,28.687
447,19.125
448,32.429
449,17.877
450,14.967
451,14.136
452,30.350
453,23.282
454,22.035
455,28.687
456,19.540
457,21.203
458,31.597
