 ,Area
1,16.214
2,25.361
3,37.833
4,46.148
5,14.967
6,37.418
7,39.496
8,21.619
9,32.429
10,38.665
11,17.462
12,21.619
13,21.203
14,32.013
15,30.350
16,28.271
17,31.181
18,44.070
19,22.866
20,25.777
21,22.451
22,17.046
23,27.024
24,17.877
25,39.496
26,43.238
27,26.608
28,19.956
29,24.945
30,19.956
31,21.203
32,26.192
33,39.496
34,19.125
35,14.136
36,25.361
37,18.293
38,19.125
39,35.339
40,17.462
41,42.822
42,52.385
43,22.451
44,18.709
45,21.619
46,36.170
47,18.709
48,32.429
49,29.934
50,27.440
51,24.114
52,34.507
53,24.529
54,34.092
55,20.788
56,31.597
57,31.181
58,31.181
59,20.788
60,24.114
61,25.777
62,27.024
63,22.451
64,23.698
65,20.788
66,21.619
67,16.214
68,26.608
69,21.619
70,17.046
71,35.755
72,39.496
73,23.282
74,46.980
75,27.855
76,32.429
77,37.833
78,30.766
79,20.372
80,26.608
81,22.035
82,20.372
83,37.418
84,39.081
85,32.429
86,32.429
87,20.788
88,30.766
89,33.260
90,32.429
91,23.698
92,31.597
93,19.956
94,23.698
95,25.777
96,29.518
97,24.945
98,44.901
99,25.777
100,18.709
101,23.698
102,38.249
103,31.181
104,43.654
105,38.665
106,36.170
107,27.024
108,22.451
109,46.148
110,32.013
111,19.956
112,41.991
113,22.451
114,23.282
115,29.934
116,40.744
117,31.181
118,31.181
119,21.619
120,20.788
121,36.586
122,21.203
123,22.451
124,40.744
125,11.641
126,24.945
127,20.372
128,46.980
129,20.788
130,25.361
131,34.507
132,28.687
133,14.136
134,24.529
135,24.529
136,24.945
137,17.462
138,36.170
139,13.304
140,50.722
141,22.866
142,32.844
143,40.328
144,36.586
145,34.507
146,37.002
147,26.192
148,22.035
149,44.070
150,19.956
151,32.429
152,48.227
153,56.126
154,41.159
155,41.575
156,25.361
157,23.282
158,28.687
159,46.148
160,37.833
161,26.608
162,37.833
163,41.991
164,25.777
165,36.170
166,21.203
167,65.689
168,27.440
169,32.429
170,19.540
171,34.092
172,22.035
173,32.429
174,34.092
175,31.597
176,40.328
177,37.833
178,20.788
179,31.597
