 ,Area
1,32.013
2,275.227
3,34.092
4,29.103
5,31.181
6,43.654
7,534.239
8,41.575
9,32.429
10,39.912
11,32.844
12,68.599
13,23.282
14,30.350
15,44.070
16,61.947
17,29.103
18,26.192
19,508.047
20,34.092
21,39.081
22,46.980
23,23.282
24,35.339
25,23.282
26,48.227
27,57.789
28,44.901
29,30.350
30,45.317
31,37.833
32,47.811
33,48.643
34,45.317
35,54.463
36,37.833
37,30.766
38,696.797
39,37.002
40,31.181
41,41.991
42,40.744
43,42.822
44,33.260
45,32.013
46,652.312
47,24.529
48,46.980
49,27.855
50,26.608
51,27.440
52,19.540
53,26.608
54,18.293
55,42.407
56,47.396
57,26.608
58,25.777
59,75.667
60,22.451
61,537.981
62,64.026
63,22.451
64,41.991
65,56.958
66,23.282
67,20.372
68,34.092
69,438.201
70,20.788
71,25.361
72,31.597
73,38.665
74,50.722
75,37.002
76,23.698
77,609.074
78,38.249
79,25.361
80,34.923
81,19.956
82,24.114
83,244.877
84,1038.544
85,113.084
86,37.418
87,327.611
88,42.407
89,32.013
90,488.091
91,44.070
92,19.125
93,811.960
94,31.181
95,34.507
96,1186.135
97,51.969
98,19.125
99,25.361
100,13.304
101,49.890
102,49.890
103,62.778
104,31.181
105,77.745
106,29.518
107,39.081
108,33.260
109,24.114
110,30.766
111,35.755
112,66.520
113,346.320
114,19.125
115,99.364
116,48.227
117,39.912
118,29.103
119,35.339
120,34.507
121,30.766
122,36.170
123,36.170
124,27.855
125,24.945
126,40.328
127,35.339
128,27.855
129,33.260
130,31.181
131,26.608
132,24.114
133,22.451
134,27.440
135,25.361
136,25.361
137,25.361
138,14.551
139,30.350
140,27.440
141,38.249
142,26.608
143,22.866
144,24.945
145,22.035
146,35.339
147,18.709
148,41.575
149,28.271
150,39.081
151,30.350
152,21.619
153,26.192
154,35.339
155,32.013
156,52.800
157,41.159
158,26.608
159,23.698
160,16.214
161,22.035
162,35.339
163,22.035
164,24.529
165,27.855
166,34.507
167,38.249
168,17.462
169,31.597
170,26.192
171,13.720
172,27.024
173,44.485
174,20.372
175,11.225
176,31.597
177,24.114
178,22.035
179,28.271
180,26.608
181,23.282
182,26.192
183,33.676
184,25.777
185,20.788
186,19.956
187,31.597
188,19.125
189,32.844
190,22.866
191,45.733
192,32.429
193,50.306
194,21.203
195,23.698
196,36.586
197,22.035
198,46.564
199,34.923
200,27.855
201,25.361
202,34.507
203,27.855
204,19.125
205,30.766
206,26.192
207,32.429
208,24.114
209,30.766
210,23.282
211,22.035
212,19.540
213,29.103
214,34.507
215,14.967
216,19.125
217,32.429
218,37.418
219,21.619
220,38.249
221,17.877
222,36.586
223,24.114
224,19.540
225,36.170
226,22.451
227,21.619
228,44.485
229,25.361
230,38.249
231,21.619
232,38.665
233,24.114
234,49.890
235,41.159
236,26.192
237,19.956
238,36.170
239,20.372
240,34.507
241,46.980
242,31.181
243,37.833
244,25.361
245,45.317
246,17.462
247,24.945
248,20.788
249,25.361
250,29.103
251,45.733
252,33.676
253,25.361
254,19.956
255,34.507
256,27.440
257,21.619
258,25.777
259,24.529
260,27.024
261,27.855
262,25.777
263,28.271
264,19.540
265,26.608
266,22.035
267,36.586
268,22.035
269,18.293
270,19.956
271,31.181
272,24.114
273,31.181
274,34.507
275,41.575
276,26.192
277,30.350
278,23.282
279,38.665
280,23.282
281,16.630
282,26.192
283,22.866
284,48.227
285,14.967
286,31.597
287,23.282
288,27.024
289,29.103
290,29.518
291,21.203
292,22.866
293,25.777
294,25.777
295,25.777
