 ,Area
1,20.372
2,32.013
3,21.203
4,18.709
5,30.766
6,37.002
7,40.744
8,37.833
9,33.676
10,18.709
11,31.181
12,32.429
13,37.833
14,19.540
15,21.203
16,38.665
17,34.923
18,22.866
19,23.698
20,19.125
21,28.271
22,32.013
23,19.540
24,27.855
25,23.698
26,23.282
27,34.923
28,24.945
29,19.956
30,18.293
31,25.361
32,19.956
33,28.687
34,18.293
35,27.024
36,23.282
37,30.766
38,14.967
39,25.777
40,19.125
41,19.956
42,29.518
43,13.304
44,32.844
45,41.575
46,27.024
47,19.540
48,26.608
49,29.934
50,21.203
51,35.339
52,19.540
53,20.372
54,19.125
55,25.777
56,27.024
57,17.462
58,33.676
59,18.709
60,28.687
61,23.698
62,32.844
63,33.260
64,21.619
65,38.665
66,22.451
67,26.192
68,19.956
69,29.518
70,27.440
71,20.788
72,25.777
73,19.956
74,28.271
75,21.619
76,23.282
77,17.877
78,17.877
79,34.092
80,38.249
81,27.855
82,17.046
83,18.709
84,20.788
85,22.451
86,39.496
87,22.451
88,46.148
89,32.844
90,20.788
91,33.260
92,25.777
93,24.529
94,22.035
95,37.002
96,28.271
97,25.777
98,34.092
99,22.451
100,34.092
101,37.418
102,37.833
103,32.013
104,29.103
105,32.844
106,17.046
107,17.462
108,26.608
109,28.271
110,17.462
111,25.777
112,19.540
113,19.540
114,21.203
115,23.698
116,34.092
117,27.855
118,31.181
119,22.451
120,44.485
121,20.372
122,36.170
123,22.035
124,25.361
125,27.024
126,20.788
127,27.440
128,30.350
129,22.451
130,25.361
131,19.540
132,24.945
133,29.518
134,48.643
135,54.048
136,34.507
137,27.855
138,27.440
139,34.507
140,48.227
141,17.877
142,23.282
143,45.317
144,34.092
145,41.159
146,42.407
147,24.945
148,22.451
149,33.676
150,28.271
151,23.282
152,26.608
153,29.518
154,34.923
155,26.192
156,39.496
157,27.440
158,21.619
159,41.159
160,35.339
161,39.496
162,27.440
163,22.866
164,34.092
165,24.529
166,24.529
167,33.260
168,29.934
169,28.687
170,35.339
171,24.114
172,29.934
173,15.799
174,34.923
175,37.833
176,32.429
