 ,Area
1,19.956
2,27.024
3,21.203
4,17.877
5,27.855
6,21.619
7,16.214
8,31.597
9,21.203
10,22.035
11,19.540
12,24.945
13,38.665
14,22.035
15,41.575
16,18.293
17,33.676
18,26.192
19,40.744
20,14.551
21,16.214
22,24.945
23,22.451
24,17.462
25,22.035
26,30.766
27,16.214
28,22.451
29,27.855
30,31.181
31,34.923
32,26.192
33,17.462
34,17.877
35,22.451
36,14.967
37,23.698
38,23.698
39,27.024
40,19.125
41,19.540
42,19.540
43,46.564
44,23.282
45,24.529
46,17.877
47,24.114
48,25.361
49,17.462
50,17.046
51,17.046
52,16.630
53,19.540
54,18.293
55,27.855
56,27.855
57,21.619
58,21.619
59,19.125
60,22.451
61,40.744
62,18.293
63,24.114
64,15.799
65,22.451
66,16.630
67,36.170
68,19.956
69,22.035
70,25.361
71,34.092
72,29.934
73,23.698
74,33.676
75,38.665
76,37.833
77,24.114
78,22.866
79,28.271
80,22.451
81,20.788
82,22.451
83,17.462
84,15.799
85,21.203
86,24.945
87,26.192
88,20.788
89,29.934
90,32.013
91,14.967
92,17.462
93,16.214
94,46.980
95,24.945
96,15.799
97,33.676
98,21.619
99,22.451
100,29.518
101,33.260
102,28.687
103,17.046
104,17.877
105,25.361
106,47.811
107,14.551
108,18.293
109,25.777
110,17.462
111,20.372
112,16.214
113,19.125
114,20.372
115,20.372
116,55.711
117,16.630
118,32.429
119,31.181
120,13.720
121,22.035
122,31.597
123,39.912
124,20.372
125,21.203
126,42.822
127,18.293
128,27.855
129,27.024
130,19.125
131,18.293
132,36.586
133,26.192
134,32.844
135,28.687
136,19.125
137,60.700
138,32.429
139,26.192
140,21.619
141,16.214
142,18.293
143,25.361
144,21.203
145,34.507
146,20.788
147,30.766
148,24.945
149,24.529
150,26.192
151,14.136
152,23.698
153,14.551
154,26.192
155,26.192
156,17.877
157,19.540
158,20.788
159,17.877
160,24.529
161,28.687
162,16.630
163,28.271
164,35.339
165,26.192
166,19.125
167,31.597
168,30.766
169,38.665
170,23.282
171,19.956
172,17.462
173,48.643
174,32.844
175,23.698
176,18.709
177,41.575
178,25.777
179,21.203
180,29.934
181,23.282
182,16.214
183,23.698
184,18.709
185,22.035
186,19.540
187,14.967
188,23.698
189,45.317
190,27.855
191,22.035
192,40.328
193,17.462
194,34.507
195,21.619
196,37.002
197,24.114
198,26.608
199,22.035
200,17.877
201,22.451
202,30.350
203,23.282
204,41.575
