 ,Area
1,30.350
2,22.035
3,17.877
4,51.137
5,39.912
6,36.586
7,57.789
8,39.081
9,33.676
10,30.350
11,39.912
12,42.822
13,42.407
14,37.833
15,51.969
16,34.923
17,41.991
18,26.192
19,40.328
20,39.081
21,26.608
22,41.159
23,24.114
24,27.855
25,18.709
26,22.866
27,24.114
28,27.855
29,16.630
30,22.035
31,22.866
32,19.540
33,40.744
34,29.934
35,42.407
36,24.945
37,27.855
38,36.586
39,41.575
40,26.608
41,44.485
42,24.945
43,27.440
44,44.070
45,30.350
46,27.855
47,30.350
48,24.945
49,32.429
50,32.429
51,20.372
52,35.755
53,60.700
54,25.777
55,11.641
56,33.676
57,19.956
58,29.103
59,31.597
60,17.877
61,27.024
62,23.282
63,28.687
64,36.586
65,19.956
66,26.192
67,51.137
68,29.934
69,31.597
70,32.429
71,19.956
72,21.203
73,27.440
74,30.766
75,37.002
76,45.733
77,34.923
78,30.350
79,32.013
80,24.945
81,39.912
82,31.181
83,28.271
84,18.293
85,19.125
86,37.418
87,39.496
88,33.676
89,23.698
90,24.114
91,27.024
92,19.540
93,27.855
94,17.877
95,22.035
96,22.866
97,17.462
98,19.956
99,21.619
100,26.608
101,27.024
102,25.777
103,30.766
104,32.013
105,20.372
106,28.271
107,21.203
108,20.372
109,29.518
110,14.967
111,20.372
112,41.575
113,54.879
114,19.540
115,18.709
116,38.665
117,31.597
118,16.630
119,31.181
120,18.709
121,16.630
122,14.967
123,25.777
124,34.923
125,17.046
126,27.024
127,21.619
128,22.035
129,83.982
130,29.934
131,20.372
132,39.496
133,17.877
134,52.385
135,30.350
136,15.799
137,32.013
138,18.293
139,23.282
140,13.304
141,22.866
142,17.877
143,21.619
144,22.451
145,22.451
146,13.304
147,28.687
148,35.339
149,19.125
150,35.755
151,31.597
152,28.271
153,36.586
154,22.866
155,34.092
156,34.092
157,52.385
158,39.912
159,21.203
160,27.440
161,34.507
162,19.956
163,19.540
164,38.665
165,21.203
166,21.203
167,27.440
168,18.293
169,15.799
170,27.855
171,29.103
172,23.282
173,22.866
174,13.304
175,39.912
176,22.866
177,43.654
178,23.282
179,19.956
180,29.518
181,15.383
182,26.192
183,19.956
184,27.855
185,21.203
186,31.181
187,17.462
188,20.788
189,41.991
190,30.766
191,22.451
192,27.440
193,34.507
194,27.440
195,17.877
196,22.866
197,19.956
198,14.551
199,64.026
200,31.181
201,24.114
202,32.844
203,19.540
204,17.877
205,23.282
206,24.114
207,28.687
208,36.170
209,16.214
210,36.586
211,29.518
212,50.306
213,29.934
214,29.103
215,15.383
216,31.181
217,17.046
218,27.855
219,25.777
220,20.372
221,29.934
222,20.372
223,19.125
224,24.114
225,11.225
226,38.665
227,29.103
228,24.529
229,24.529
230,20.372
231,23.698
232,17.877
233,24.945
234,22.035
235,22.035
236,26.608
237,17.462
238,35.755
239,29.934
240,30.350
241,21.203
242,24.529
243,27.855
244,26.608
245,44.070
246,23.698
247,35.755
248,20.788
249,32.844
250,30.350
251,20.372
252,39.081
253,29.518
254,32.429
255,43.238
256,25.777
257,22.035
258,22.035
259,21.619
260,19.125
261,29.518
262,26.192
263,39.081
264,53.632
265,31.597
266,29.934
267,20.788
268,27.440
269,22.451
270,34.507
271,24.945
272,29.518
273,24.529
274,35.339
275,16.214
276,29.518
277,24.114
278,24.945
279,22.035
280,27.440
281,32.013
282,30.766
283,20.788
284,19.125
285,34.092
286,25.777
287,27.024
288,34.507
289,24.945
290,18.709
291,35.339
292,39.496
293,37.418
294,23.698
295,15.799
296,34.092
297,35.339
298,21.203
299,20.372
300,26.608
301,22.035
302,17.877
303,19.125
