 ,Area
1,30.350
2,30.766
3,51.137
4,46.148
5,50.306
6,42.407
7,28.271
8,24.529
9,31.181
10,52.800
11,24.114
12,28.271
13,30.766
14,39.496
15,40.744
16,24.529
17,19.540
18,46.564
19,30.766
20,30.350
21,34.092
22,76.082
23,35.339
24,29.103
25,76.498
26,25.777
27,12.473
28,42.822
29,17.462
30,36.170
31,42.822
32,57.789
33,34.092
34,56.542
35,49.059
36,34.092
37,19.540
38,48.643
39,37.002
40,27.855
41,61.115
42,29.518
43,24.945
44,24.945
45,41.575
46,28.687
47,19.956
48,22.866
49,40.328
50,54.879
51,25.361
52,13.720
53,26.608
54,15.383
55,43.654
56,27.440
57,23.282
58,41.159
59,56.542
60,38.249
61,19.125
62,22.866
63,34.507
64,25.361
65,18.709
66,53.216
67,25.777
68,22.451
69,22.035
70,44.901
71,43.238
72,36.170
73,18.709
74,27.024
75,27.440
76,31.181
77,13.304
78,37.418
79,34.092
80,32.013
81,20.788
82,44.070
83,24.114
84,44.901
85,27.855
86,39.912
87,46.564
88,38.665
89,19.540
90,31.181
91,30.766
92,37.833
93,19.125
94,50.306
95,23.282
96,41.159
97,31.181
98,36.586
99,28.687
100,23.698
101,28.687
102,43.654
103,38.249
104,22.451
105,60.700
106,20.372
107,28.271
108,32.844
109,11.225
110,49.474
111,36.586
112,50.722
113,47.811
114,48.227
115,32.844
116,45.317
117,41.159
118,38.665
119,61.531
120,47.396
121,51.969
122,14.136
123,34.923
124,31.181
125,22.866
126,24.945
127,19.956
128,39.081
129,37.833
130,15.383
131,40.744
132,56.958
133,33.260
134,52.800
135,47.396
136,24.529
137,29.934
138,41.575
139,18.709
140,40.744
141,38.665
142,19.540
143,29.934
144,44.901
145,23.282
146,39.496
147,27.855
148,18.293
149,14.967
150,30.766
151,52.385
152,25.777
153,14.967
154,37.833
155,66.104
156,32.844
157,29.103
158,24.529
159,41.575
160,36.170
161,23.282
162,18.709
163,37.418
164,20.788
165,26.608
166,18.709
167,26.608
168,39.912
169,24.945
170,32.013
171,19.125
172,55.295
173,29.518
174,40.744
175,29.934
176,34.092
177,26.608
178,41.575
179,23.698
180,18.293
181,41.575
182,38.249
183,46.564
184,30.766
185,11.641
186,27.024
187,16.214
188,57.374
189,25.361
190,33.260
191,40.328
192,33.676
193,21.203
194,28.687
195,51.553
196,45.317
197,40.328
198,38.249
199,46.148
200,42.407
201,24.945
202,21.619
203,37.418
204,26.608
205,37.002
206,47.396
207,24.529
208,21.619
209,39.912
210,14.136
211,23.282
212,37.418
213,17.046
214,17.046
215,27.024
216,43.654
217,29.103
218,36.586
219,22.035
220,20.372
221,47.396
222,23.698
223,23.698
224,21.203
225,20.788
226,40.744
227,29.103
228,39.912
229,29.934
230,28.271
231,54.879
232,33.260
233,46.980
234,44.070
235,36.586
236,13.304
237,35.339
238,17.877
239,29.518
240,15.383
241,32.844
242,47.811
243,27.440
244,22.451
245,32.429
246,24.114
247,27.440
248,17.462
249,29.518
250,26.192
251,12.057
252,31.597
253,17.046
254,20.788
255,20.372
256,18.709
257,50.722
258,44.901
259,30.350
260,43.238
261,28.687
262,19.956
263,44.070
264,30.350
265,48.227
266,50.306
267,38.665
268,39.496
269,23.698
270,23.282
271,37.418
272,19.125
273,14.967
274,44.070
275,22.035
276,24.114
277,19.956
278,43.654
279,37.418
280,40.744
281,25.777
282,44.070
283,29.103
284,27.855
285,23.698
286,38.665
287,46.980
288,21.619
289,28.271
290,39.496
291,31.597
292,24.529
293,21.619
294,19.125
295,26.608
296,17.462
297,50.722
298,46.148
299,24.945
300,22.451
301,44.901
302,24.529
303,34.507
304,34.507
305,31.181
306,20.372
307,48.227
308,19.540
309,27.024
310,28.687
311,15.383
312,30.350
313,25.777
314,16.214
315,34.507
316,32.013
317,43.238
318,40.744
319,21.203
320,35.755
321,52.385
322,30.766
323,21.203
324,35.339
325,31.181
326,16.214
327,42.822
328,40.328
329,17.046
330,44.070
331,32.013
332,18.293
333,38.665
334,24.945
335,29.934
336,29.518
337,17.462
338,35.339
339,47.396
340,25.361
341,33.260
342,24.945
343,27.024
344,39.912
345,52.800
346,21.203
347,35.339
348,24.114
349,32.013
350,21.619
351,21.203
