 ,Area
1,38.249
2,27.440
3,23.698
4,20.788
5,42.407
6,29.518
7,32.013
8,27.440
9,27.024
10,28.271
11,43.654
12,34.923
13,27.855
14,67.767
15,12.888
16,49.474
17,29.518
18,22.866
19,29.518
20,50.722
21,33.260
22,24.529
23,37.002
24,30.350
25,27.024
26,32.844
27,36.170
28,21.203
29,39.081
30,23.282
31,44.485
32,49.059
33,33.676
34,25.777
35,28.687
36,32.844
37,27.440
38,12.057
39,24.114
40,28.271
41,53.632
42,31.597
43,22.451
44,33.260
45,22.451
46,37.833
47,66.104
48,44.485
49,29.518
50,25.361
51,33.260
52,27.855
53,29.934
54,39.081
55,24.529
56,34.092
57,43.654
58,22.035
59,41.991
60,30.350
61,38.249
62,29.934
63,25.777
64,26.192
65,34.507
66,29.518
67,27.440
68,21.203
69,26.192
70,24.529
71,30.766
72,35.339
73,34.092
74,22.866
75,35.755
76,22.451
77,39.081
78,27.855
79,36.586
80,36.586
81,55.295
82,37.833
83,38.249
84,25.361
85,27.024
86,53.632
87,37.002
88,26.608
89,26.608
90,32.013
91,44.070
92,51.137
93,31.181
94,29.934
95,37.418
96,22.866
97,21.619
98,37.418
99,20.788
100,27.855
101,25.777
102,30.350
103,47.396
104,64.026
105,44.070
106,49.059
107,31.597
108,40.328
109,30.350
110,32.013
111,54.048
112,61.947
113,24.529
114,46.564
115,37.002
116,34.092
117,46.148
118,33.260
119,34.923
120,32.429
121,43.654
122,29.934
123,26.608
124,49.890
125,33.260
126,27.024
127,68.183
128,35.339
129,35.755
130,37.833
131,34.923
132,59.037
133,42.407
134,30.350
135,46.564
136,25.777
137,29.934
138,43.238
139,22.451
140,31.181
141,35.339
142,38.249
143,41.159
144,26.192
145,46.980
146,34.092
147,19.540
148,58.205
149,29.934
150,44.070
151,50.306
152,34.507
153,30.350
154,54.879
155,39.496
156,52.385
157,24.529
158,45.733
159,27.024
160,33.676
161,38.665
162,37.418
163,33.260
164,29.518
165,30.766
166,29.934
167,29.103
168,12.888
169,39.912
170,43.238
171,37.833
172,49.059
173,37.002
174,34.923
175,28.271
176,69.015
177,24.529
178,32.013
179,60.700
180,25.361
181,21.203
182,64.857
183,48.643
184,46.564
185,23.282
186,13.720
187,36.170
188,63.610
189,37.833
190,38.249
191,29.103
192,35.339
193,33.676
194,40.744
195,36.170
196,22.451
197,43.654
198,29.518
199,35.755
200,22.866
201,38.249
202,44.901
203,21.619
204,33.676
205,46.564
206,46.564
207,30.766
208,44.485
209,32.844
210,46.148
211,25.777
212,40.744
213,30.766
214,53.216
215,49.474
216,31.181
217,43.238
218,34.092
219,56.542
220,27.855
221,31.181
222,34.923
223,35.755
224,43.238
225,38.249
226,17.462
227,44.485
228,38.249
229,58.621
230,44.070
231,42.407
232,39.912
233,58.205
234,61.531
235,26.608
236,49.474
237,53.216
238,41.991
239,52.800
240,37.833
241,43.238
242,28.271
243,55.711
244,55.295
245,27.440
246,64.026
247,63.610
248,36.586
249,33.676
250,29.934
251,35.339
252,35.755
253,15.383
254,52.800
255,27.440
256,29.934
257,77.330
258,43.654
259,52.385
260,59.868
261,29.934
262,41.575
263,53.216
264,45.733
265,32.844
266,42.822
267,66.104
268,61.947
269,41.159
270,55.711
271,79.408
272,14.967
273,20.788
274,74.835
275,44.901
276,42.822
277,37.418
278,137.198
279,58.205
280,65.689
281,46.980
282,36.586
283,97.286
284,10.810
285,15.383
286,33.676
287,21.619
288,14.967
289,19.540
290,22.451
291,14.967
292,39.912
293,10.394
294,113.916
295,15.799
296,242.798
297,121.815
298,11.641
299,35.339
300,19.956
301,15.799
302,45.317
303,11.225
304,18.709
305,22.866
306,12.473
307,44.070
308,21.203
309,19.125
310,29.934
311,30.350
312,10.810
313,209.122
314,43.238
315,12.888
316,32.013
317,12.473
318,20.372
319,19.956
320,61.531
321,16.630
322,33.260
323,22.035
324,34.507
325,21.203
326,37.833
327,20.372
328,16.630
329,19.540
330,13.304
331,34.092
332,13.304
333,56.126
334,23.698
335,32.013
336,18.709
337,12.057
338,34.507
339,70.678
340,29.103
341,20.372
342,14.967
343,56.542
344,50.722
345,31.181
346,39.496
347,17.462
348,20.788
349,33.676
350,23.698
351,19.956
352,28.271
353,1421.034
354,25.361
355,15.799
356,14.967
357,41.575
358,32.013
359,181.267
360,69.015
361,720.079
362,18.293
363,14.967
364,10.394
365,13.720
366,17.462
367,22.035
368,33.676
369,17.462
370,17.877
371,24.945
372,109.342
373,57.374
374,203.302
375,14.136
376,32.013
377,67.352
378,69.015
379,81.903
380,49.059
381,12.473
382,31.597
383,74.419
384,48.643
385,395.794
386,377.917
387,101.443
388,22.866
389,10.394
390,47.811
391,40.328
392,24.529
393,22.866
394,78.993
395,34.507
396,59.452
397,37.418
398,60.284
399,58.205
400,20.372
401,59.452
402,30.766
403,92.297
404,24.529
405,23.698
406,11.641
407,64.441
408,13.720
409,28.271
410,194.571
411,32.429
412,11.641
413,50.722
414,76.914
415,34.923
416,37.418
417,14.136
418,10.394
419,53.632
420,12.888
421,24.529
422,70.262
423,14.551
424,45.317
425,13.304
