 ,Area
1,41.575
2,19.956
3,43.654
4,36.170
5,37.002
6,48.643
7,30.766
8,21.203
9,31.181
10,39.912
11,48.227
12,21.203
13,167.547
14,52.800
15,32.844
16,19.540
17,31.597
18,36.170
19,18.293
20,48.227
21,24.114
22,74.835
23,39.081
24,95.207
25,23.698
26,18.293
27,44.901
28,49.059
29,24.529
30,79.824
31,49.474
32,51.137
33,68.183
34,79.824
35,19.956
36,20.788
37,23.282
38,15.799
39,27.855
40,22.451
41,43.238
42,30.350
43,15.799
44,19.956
45,25.361
46,29.518
47,26.608
48,32.013
49,44.070
50,36.170
51,32.013
52,19.956
53,17.462
54,19.125
55,24.945
56,15.383
57,27.440
58,21.619
59,25.777
60,26.608
61,42.822
62,43.238
63,23.282
64,28.271
65,22.451
66,17.877
67,21.619
68,22.866
69,52.385
70,23.698
71,22.866
72,22.035
73,17.462
74,18.709
75,29.934
76,14.136
77,21.619
78,20.788
79,18.709
80,13.304
81,32.844
82,19.125
83,23.698
84,44.901
85,25.777
86,25.777
87,23.282
88,27.855
89,22.035
90,21.619
91,22.035
92,20.372
93,46.980
94,24.529
95,19.125
96,51.553
97,47.811
98,42.407
99,23.282
100,18.709
101,19.956
102,24.945
103,20.372
104,22.035
105,15.799
106,23.698
107,26.192
108,27.855
109,26.192
110,47.396
111,20.788
112,38.249
113,17.046
114,29.103
115,33.260
116,20.788
117,28.687
118,14.967
119,25.361
120,59.037
121,30.766
122,21.619
123,41.575
124,39.912
125,18.709
126,28.687
127,17.877
128,25.777
129,22.035
130,17.877
131,30.350
132,22.035
133,22.451
134,29.103
135,19.125
136,20.788
137,14.967
138,20.372
139,23.282
140,26.192
141,18.709
142,14.136
143,26.192
144,36.170
145,40.328
146,18.293
147,41.575
148,19.540
149,42.407
150,21.619
151,25.777
152,33.676
153,18.709
154,21.619
155,26.192
156,40.328
157,70.262
158,43.238
159,35.339
160,29.103
161,35.339
162,25.361
163,37.418
164,22.451
165,25.777
166,18.293
167,26.192
168,28.687
169,28.271
170,32.013
171,12.057
172,41.575
173,30.766
174,25.361
175,18.293
176,24.114
177,37.418
178,14.551
179,22.035
180,26.608
181,17.046
182,23.282
183,26.192
184,22.451
185,34.092
186,20.372
187,18.293
188,18.293
189,36.586
190,22.035
191,24.945
192,29.934
193,13.720
194,17.877
195,42.407
196,18.293
197,28.687
198,19.125
199,15.383
200,43.238
201,18.709
202,17.462
203,16.214
204,18.293
205,35.339
206,22.451
207,16.630
208,24.945
209,14.136
210,22.866
211,18.293
212,41.159
213,37.002
214,31.181
215,30.350
216,31.597
217,13.304
218,15.383
219,16.214
220,51.553
221,29.518
222,19.540
223,19.540
224,22.035
225,12.057
226,19.125
227,27.024
228,32.429
229,16.214
230,36.170
231,14.551
232,19.956
233,16.630
234,24.529
235,23.698
236,12.057
237,53.216
238,19.540
239,18.709
240,19.125
241,15.383
242,11.225
243,17.046
244,22.451
245,12.888
246,18.709
247,40.328
248,23.282
249,36.586
250,17.462
251,22.035
252,25.777
253,19.540
254,13.720
255,31.181
256,36.586
257,37.833
258,26.608
259,39.496
260,14.967
261,23.698
262,14.967
263,18.293
264,21.203
265,17.046
266,41.575
267,12.057
268,26.192
269,44.901
270,28.687
271,19.540
272,36.170
273,26.192
274,61.947
275,25.777
276,22.035
277,35.339
278,17.462
279,25.777
280,51.137
281,22.866
282,30.766
283,25.361
284,15.799
285,32.429
286,71.925
287,44.485
288,18.709
289,27.024
290,29.934
291,32.429
292,20.788
293,18.293
294,44.901
295,19.956
296,17.462
297,17.462
298,236.978
299,41.159
300,45.317
301,25.777
302,27.440
303,14.136
304,34.092
305,31.181
306,39.496
307,19.125
308,97.701
309,34.923
310,35.339
311,15.799
312,32.844
313,17.462
314,38.249
315,15.383
316,65.689
317,43.238
318,41.159
319,47.811
320,11.641
321,14.967
322,14.136
323,16.214
324,16.630
325,16.630
326,16.214
327,23.282
328,16.214
329,37.833
330,24.529
331,46.148
332,12.473
333,18.293
334,16.630
335,18.709
336,10.394
337,15.799
338,17.877
339,29.518
340,26.608
