 ,Area
1,69.430
2,27.024
3,67.352
4,28.271
5,98.533
6,25.777
7,32.013
8,147.591
9,78.161
10,94.375
11,41.575
12,46.980
13,25.777
14,65.689
15,25.361
16,27.855
17,40.328
18,90.218
19,34.507
20,61.947
21,58.205
22,70.678
23,29.518
24,45.317
25,29.934
26,83.150
27,27.855
28,27.024
29,94.375
30,27.440
31,86.892
32,37.418
33,67.767
34,49.890
35,25.361
36,27.024
37,47.396
38,93.544
39,28.271
40,26.192
41,45.317
42,55.295
43,27.024
44,28.271
45,64.857
46,36.586
47,44.070
48,43.654
49,57.374
50,41.575
51,41.575
52,91.049
53,37.418
54,29.103
55,42.822
56,28.687
57,47.811
58,68.599
59,45.317
60,81.903
61,42.407
62,25.361
63,39.912
64,41.991
65,46.564
66,94.375
67,49.059
68,57.374
69,51.553
70,29.934
71,58.621
72,61.947
73,34.092
74,63.194
75,42.822
76,78.161
77,56.542
78,54.879
79,34.507
80,59.868
81,47.396
82,39.912
83,44.485
84,34.507
85,55.295
86,103.938
87,47.811
88,26.192
89,46.564
90,29.518
91,42.822
92,84.397
93,31.597
94,31.181
95,35.755
96,46.564
97,39.081
98,70.678
99,53.216
100,87.723
101,74.419
102,38.665
103,38.665
104,82.734
105,34.092
106,31.181
107,32.429
108,36.586
109,28.687
110,79.408
111,45.733
112,60.284
113,96.454
114,34.507
115,43.654
116,54.879
117,95.623
118,41.575
119,91.049
120,50.306
121,46.564
122,48.227
123,79.824
124,69.430
125,83.566
126,32.013
127,92.297
128,40.328
129,45.317
130,51.969
131,45.733
132,67.767
133,36.170
134,26.608
135,31.181
136,46.564
137,37.418
138,78.577
139,27.024
140,61.947
141,31.181
142,27.024
143,60.284
144,26.192
145,69.430
146,38.665
147,27.855
148,66.104
149,30.350
150,56.126
151,46.564
152,29.103
153,57.374
154,33.676
155,30.350
156,75.667
157,26.608
158,72.756
159,83.566
160,28.271
161,39.912
162,33.260
163,27.024
164,93.128
165,54.048
166,58.205
167,35.339
168,27.024
169,35.755
170,64.026
171,30.350
172,56.542
173,53.632
174,41.575
175,36.586
176,38.249
177,40.328
178,40.744
179,65.689
180,69.846
181,27.440
182,34.092
183,45.317
184,41.575
185,64.857
186,34.507
187,79.824
188,66.520
189,68.599
190,34.507
191,78.161
192,38.665
193,43.238
194,45.733
195,39.912
196,42.822
197,39.912
198,49.059
199,71.509
200,26.608
201,27.855
202,27.855
203,36.170
204,40.328
205,25.361
206,44.485
207,32.844
208,46.564
209,43.654
210,85.229
211,66.520
212,52.385
213,42.407
214,64.026
215,30.350
216,25.777
217,34.923
218,79.408
219,75.667
220,74.004
221,81.071
222,66.104
223,44.485
224,49.890
225,59.868
226,27.440
227,74.004
228,44.070
229,25.361
230,83.150
231,34.092
232,32.429
233,57.374
234,66.520
235,26.192
236,48.643
237,25.361
238,25.361
239,59.037
240,58.621
241,69.015
242,29.518
243,47.811
244,48.643
245,29.518
246,40.744
247,51.553
248,30.766
249,35.755
250,66.104
251,25.777
252,59.037
253,33.260
254,29.103
255,53.632
256,25.361
257,59.452
258,32.013
259,37.002
260,33.260
261,38.249
262,47.396
263,44.901
264,41.159
265,55.295
266,66.520
267,60.700
268,41.991
269,63.610
270,58.621
271,36.586
272,33.676
273,59.452
274,29.934
275,129.714
276,67.767
277,81.487
278,29.934
279,27.440
280,38.249
281,81.903
282,35.339
283,72.341
284,35.755
285,41.575
286,49.059
287,75.667
288,57.789
289,56.126
290,44.485
291,65.689
292,29.518
293,28.271
294,32.844
295,64.857
296,50.722
297,27.440
298,48.227
299,25.777
300,29.103
301,30.350
302,58.621
303,47.811
304,48.227
305,42.407
306,25.777
307,51.553
308,25.361
309,58.621
310,85.229
311,44.901
312,37.002
313,70.262
314,29.103
315,60.284
316,44.901
317,34.923
318,30.766
319,46.148
320,82.319
321,69.846
322,30.350
323,27.855
324,39.496
325,37.002
326,26.608
327,25.361
328,53.216
329,43.238
330,56.126
331,33.260
332,47.396
333,39.496
334,53.632
335,73.172
336,27.024
337,87.308
338,53.632
339,67.352
340,76.082
341,51.969
342,49.059
343,52.385
344,56.958
345,50.306
346,38.249
347,27.024
348,44.901
349,37.002
350,76.082
351,41.575
352,42.822
353,32.429
354,26.192
355,63.194
356,41.991
357,58.205
358,35.755
359,30.350
360,25.777
361,62.363
362,32.013
363,37.418
364,29.518
365,88.971
366,25.361
367,27.855
368,34.923
369,29.518
370,39.912
371,44.485
372,52.800
373,44.070
374,42.407
375,68.599
376,57.374
377,29.103
378,31.181
379,27.855
380,31.597
381,40.744
382,38.249
383,41.159
384,32.013
385,37.418
386,26.608
387,41.991
388,36.170
389,25.777
390,46.980
391,59.037
392,29.934
393,31.597
394,88.555
395,47.396
396,34.092
397,32.429
398,25.777
399,40.328
400,38.249
401,54.463
402,47.811
403,28.687
404,51.969
