 ,Area
1,111
2,97
3,157
4,74
5,147
6,158
7,198
8,104
9,214
10,187
11,186
12,171
13,149
14,12
15,161
16,277
17,150
18,12
19,154
20,17
21,15
22,160
23,51
24,200
25,10
26,149
27,143
28,97
29,95
30,11
31,94
32,92
33,211
34,127
35,185
36,105
37,164
38,196
39,31
40,175
41,76
42,34
43,243
44,169
45,186
46,35
47,35
48,67
49,12
50,79
51,142
52,181
53,150
54,95
55,151
56,98
57,83
58,112
59,235
60,197
61,69
62,159
63,144
64,149
65,161
66,61
67,70
68,197
69,169
70,198
71,135
72,154
73,147
74,149
75,291
76,125
77,90
78,240
79,161
80,203
81,130
82,152
83,198
84,117
85,223
86,45
87,182
