 ,Area
1,598.293
2,583.326
3,2111.697
4,810.336
5,4256.240
6,5144.325
7,4704.856
8,1233.175
9,1205.734
10,15445.865
11,4669.516
12,528.444
13,2278.837
14,224.100
15,1643.124
16,1153.762
17,32.430
18,6584.553
19,27.025
20,15035.915
21,658.164
22,5083.623
23,668.974
24,5022.089
25,4435.853
26,1322.981
27,15440.875
28,4682.405
29,1872.213
30,311.412
31,888.085
32,7412.768
33,1215.296
34,8034.760
35,7417.757
36,614.924
37,2938.664
38,1663.913
39,315.154
40,3332.399
41,546.738
42,3598.076
43,4216.742
44,633.634
45,5871.923
46,4275.365
47,8978.558
48,2959.453
49,1147.526
50,6144.253
51,4687.810
52,4946.419
53,10767.202
54,1742.909
55,2403.152
56,4864.096
57,2179.052
58,2115.023
59,3631.337
60,2276.342
61,78.165
62,12045.696
63,14759.428
64,1664.744
65,1418.608
66,1044.415
67,5523.508
68,9618.013
69,5495.651
70,1497.604
71,5839.909
72,3642.979
73,7605.269
74,3794.319
75,203.312
76,2613.116
77,627.397
78,6769.987
79,6120.138
80,14751.528
81,8133.298
82,2563.224
83,4862.849
84,1953.704
85,1682.622
86,378.351
