 ,Label,Area,Mean,Min,Max
1,B7_01_1_1_Chlorophyll_A_001.tif,49.506,24291.368,12512,38672
2,B7_01_1_1_Chlorophyll_A_001.tif,33.873,23232.000,11216,40800
3,B7_01_1_1_Chlorophyll_A_001.tif,36.478,22844.571,10944,37712
4,B7_01_1_1_Chlorophyll_A_001.tif,28.661,16856.727,10944,23344
5,B7_01_1_1_Chlorophyll_A_001.tif,28.661,17604.364,10704,25712
6,B7_01_1_1_Chlorophyll_A_001.tif,26.056,17867.200,10880,29392
7,B7_01_1_1_Chlorophyll_A_001.tif,46.900,24562.667,11024,44032
8,B7_01_1_1_Chlorophyll_A_001.tif,36.478,19325.714,11584,32016
9,B7_01_1_1_Chlorophyll_A_001.tif,26.056,16611.200,11280,22960
10,B7_01_1_1_Chlorophyll_A_001.tif,36.478,23162.286,14000,37088
11,B7_01_1_1_Chlorophyll_A_001.tif,59.928,30320.000,12448,51600
12,B7_01_1_1_Chlorophyll_A_001.tif,31.267,18506.667,10752,27808
13,B7_01_1_1_Chlorophyll_A_001.tif,44.295,22758.588,11568,36592
14,B7_01_1_1_Chlorophyll_A_001.tif,41.689,20080.000,13168,32016
15,B7_01_1_1_Chlorophyll_A_001.tif,39.084,19978.667,10736,35184
16,B7_01_1_1_Chlorophyll_A_001.tif,72.956,24990.286,10976,41856
17,B7_01_1_1_Chlorophyll_A_001.tif,26.056,18649.600,11216,31264
18,B7_01_1_1_Chlorophyll_A_001.tif,46.900,22482.667,11056,39440
19,B7_01_1_1_Chlorophyll_A_001.tif,33.873,23325.538,10816,42688
20,B7_01_1_1_Chlorophyll_A_001.tif,41.689,18940.000,11472,28400
21,B7_01_1_1_Chlorophyll_A_001.tif,39.084,17196.800,10912,23888
22,B7_01_1_1_Chlorophyll_A_001.tif,26.056,20448.000,11040,35040
23,B7_01_1_1_Chlorophyll_A_001.tif,36.478,20779.429,11072,34320
24,B7_01_1_1_Chlorophyll_A_001.tif,49.506,20421.053,10688,37664
25,B7_01_1_1_Chlorophyll_A_001.tif,57.323,22017.455,11456,37792
26,B7_01_1_1_Chlorophyll_A_001.tif,36.478,19747.429,11968,29776
27,B7_01_1_1_Chlorophyll_A_001.tif,26.056,21188.800,11952,30656
28,B7_01_1_1_Chlorophyll_A_001.tif,33.873,24203.077,11472,40320
29,B7_01_1_1_Chlorophyll_A_001.tif,28.661,17722.182,11376,25232
30,B7_01_1_1_Chlorophyll_A_001.tif,33.873,20518.154,10880,32944
31,B7_01_1_1_Chlorophyll_A_001.tif,28.661,17104.000,11184,25760
32,B7_01_1_1_Chlorophyll_A_001.tif,52.112,21076.800,11344,36064
33,B7_01_1_1_Chlorophyll_A_001.tif,44.295,23158.588,11680,39360
34,B7_01_1_1_Chlorophyll_A_001.tif,65.140,25570.560,11120,56816
35,B7_01_1_1_Chlorophyll_A_001.tif,31.267,22688.000,10864,34672
36,B7_01_1_1_Chlorophyll_A_001.tif,26.056,18548.800,11392,25024
37,B7_01_1_1_Chlorophyll_A_001.tif,39.084,26893.867,11008,45936
38,B7_01_1_1_Chlorophyll_A_001.tif,26.056,20123.200,12048,33856
39,B7_01_1_1_Chlorophyll_A_001.tif,36.478,19789.714,10976,30224
40,B7_01_1_1_Chlorophyll_A_001.tif,36.478,26273.143,11104,44704
41,B7_01_1_1_Chlorophyll_A_001.tif,28.661,20910.545,11424,33440
42,B7_01_1_1_Chlorophyll_A_001.tif,46.900,21979.556,12096,40064
43,B7_01_1_1_Chlorophyll_A_001.tif,33.873,22850.462,11008,38544
44,B7_01_1_1_Chlorophyll_A_001.tif,36.478,21498.286,11424,36864
45,B7_01_1_1_Chlorophyll_A_001.tif,36.478,21952.000,12880,35824
46,B7_01_1_1_Chlorophyll_A_001.tif,39.084,23942.400,11472,38880
47,B7_01_1_1_Chlorophyll_A_001.tif,46.900,24676.444,10784,39760
48,B7_01_1_1_Chlorophyll_A_001.tif,28.661,23342.545,12736,38096
49,B7_01_1_1_Chlorophyll_A_001.tif,41.689,22629.000,10672,38704
