 ,Label,Area,Mean,Min,Max
1,C11_01_1_1_Chlorophyll_A_001.tif,26.056,18001.600,10832,25616
2,C11_01_1_1_Chlorophyll_A_001.tif,31.267,18976.000,10464,27568
3,C11_01_1_1_Chlorophyll_A_001.tif,39.084,23979.733,10768,44848
4,C11_01_1_1_Chlorophyll_A_001.tif,28.661,15972.364,10608,24176
5,C11_01_1_1_Chlorophyll_A_001.tif,44.295,23336.471,10128,35856
6,C11_01_1_1_Chlorophyll_A_001.tif,26.056,19584.000,10784,29680
7,C11_01_1_1_Chlorophyll_A_001.tif,36.478,18473.143,10288,26512
8,C11_01_1_1_Chlorophyll_A_001.tif,39.084,20284.800,10608,33632
9,C11_01_1_1_Chlorophyll_A_001.tif,28.661,23890.909,12976,39200
10,C11_01_1_1_Chlorophyll_A_001.tif,31.267,17385.333,10192,26496
11,C11_01_1_1_Chlorophyll_A_001.tif,39.084,17673.600,10576,25232
12,C11_01_1_1_Chlorophyll_A_001.tif,59.928,22966.261,12432,44912
13,C11_01_1_1_Chlorophyll_A_001.tif,26.056,16411.200,11088,22144
14,C11_01_1_1_Chlorophyll_A_001.tif,31.267,20357.333,11648,31248
15,C11_01_1_1_Chlorophyll_A_001.tif,44.295,26635.294,12112,44272
16,C11_01_1_1_Chlorophyll_A_001.tif,26.056,18065.600,10176,25088
17,C11_01_1_1_Chlorophyll_A_001.tif,36.478,24619.429,13392,41296
18,C11_01_1_1_Chlorophyll_A_001.tif,36.478,24810.286,11648,39392
19,C11_01_1_1_Chlorophyll_A_001.tif,36.478,23932.571,10080,47504
20,C11_01_1_1_Chlorophyll_A_001.tif,28.661,16596.364,10512,25920
21,C11_01_1_1_Chlorophyll_A_001.tif,36.478,16872.000,10000,24976
22,C11_01_1_1_Chlorophyll_A_001.tif,44.295,18328.471,10048,29040
23,C11_01_1_1_Chlorophyll_A_001.tif,54.717,22601.905,11168,35008
24,C11_01_1_1_Chlorophyll_A_001.tif,44.295,21331.765,10544,36656
25,C11_01_1_1_Chlorophyll_A_001.tif,31.267,15985.333,10064,25024
26,C11_01_1_1_Chlorophyll_A_001.tif,36.478,23353.143,13360,37264
27,C11_01_1_1_Chlorophyll_A_001.tif,54.717,23416.381,11184,36832
28,C11_01_1_1_Chlorophyll_A_001.tif,28.661,18782.545,11520,25536
29,C11_01_1_1_Chlorophyll_A_001.tif,33.873,17544.615,11312,24960
30,C11_01_1_1_Chlorophyll_A_001.tif,31.267,14646.667,10224,21680
31,C11_01_1_1_Chlorophyll_A_001.tif,62.534,25646.000,11584,50128
32,C11_01_1_1_Chlorophyll_A_001.tif,31.267,15362.667,11072,24016
33,C11_01_1_1_Chlorophyll_A_001.tif,26.056,20150.400,10128,32416
34,C11_01_1_1_Chlorophyll_A_001.tif,49.506,24987.789,10656,43744
35,C11_01_1_1_Chlorophyll_A_001.tif,44.295,16490.353,10304,22640
36,C11_01_1_1_Chlorophyll_A_001.tif,83.379,22640.500,10400,38096
37,C11_01_1_1_Chlorophyll_A_001.tif,28.661,18533.818,10720,24128
38,C11_01_1_1_Chlorophyll_A_001.tif,28.661,22200.727,11936,32656
39,C11_01_1_1_Chlorophyll_A_001.tif,46.900,22469.333,11152,42976
40,C11_01_1_1_Chlorophyll_A_001.tif,36.478,17546.286,10416,27056
41,C11_01_1_1_Chlorophyll_A_001.tif,33.873,17456.000,10192,25840
42,C11_01_1_1_Chlorophyll_A_001.tif,28.661,17617.455,11744,27792
43,C11_01_1_1_Chlorophyll_A_001.tif,39.084,17484.800,11664,26800
44,C11_01_1_1_Chlorophyll_A_001.tif,39.084,19991.467,10352,33200
