 ,Label,Area,Mean,Min,Max
1,C4_01_1_1_Chlorophyll_A_001.tif,28.661,20401.455,11232,34880
2,C4_01_1_1_Chlorophyll_A_001.tif,33.873,21005.538,11200,29600
3,C4_01_1_1_Chlorophyll_A_001.tif,33.873,23758.769,11648,40720
4,C4_01_1_1_Chlorophyll_A_001.tif,26.056,19988.800,13824,26112
5,C4_01_1_1_Chlorophyll_A_001.tif,31.267,20684.000,12688,30032
6,C4_01_1_1_Chlorophyll_A_001.tif,28.661,16762.182,11632,24672
7,C4_01_1_1_Chlorophyll_A_001.tif,33.873,18404.923,11392,27472
8,C4_01_1_1_Chlorophyll_A_001.tif,41.689,22463.000,13472,32800
9,C4_01_1_1_Chlorophyll_A_001.tif,28.661,17109.818,11392,23376
10,C4_01_1_1_Chlorophyll_A_001.tif,31.267,24626.667,11328,44112
11,C4_01_1_1_Chlorophyll_A_001.tif,36.478,19004.571,12160,28736
12,C4_01_1_1_Chlorophyll_A_001.tif,26.056,16038.400,11136,23936
13,C4_01_1_1_Chlorophyll_A_001.tif,33.873,22104.615,11552,34208
14,C4_01_1_1_Chlorophyll_A_001.tif,28.661,20754.909,12016,32512
15,C4_01_1_1_Chlorophyll_A_001.tif,36.478,24153.143,11232,35552
16,C4_01_1_1_Chlorophyll_A_001.tif,26.056,18777.600,11248,29072
17,C4_01_1_1_Chlorophyll_A_001.tif,46.900,20033.778,11120,32736
18,C4_01_1_1_Chlorophyll_A_001.tif,28.661,17040.000,11920,24656
19,C4_01_1_1_Chlorophyll_A_001.tif,36.478,18411.429,11152,27776
20,C4_01_1_1_Chlorophyll_A_001.tif,39.084,21128.533,11328,32000
21,C4_01_1_1_Chlorophyll_A_001.tif,49.506,28825.263,12080,55520
22,C4_01_1_1_Chlorophyll_A_001.tif,28.661,20706.909,12784,27824
23,C4_01_1_1_Chlorophyll_A_001.tif,33.873,16984.615,11184,23984
24,C4_01_1_1_Chlorophyll_A_001.tif,49.506,20921.263,11232,34784
25,C4_01_1_1_Chlorophyll_A_001.tif,31.267,18365.333,11216,26416
26,C4_01_1_1_Chlorophyll_A_001.tif,33.873,18748.308,11856,27136
27,C4_01_1_1_Chlorophyll_A_001.tif,26.056,20433.600,13696,32848
28,C4_01_1_1_Chlorophyll_A_001.tif,28.661,15726.545,11248,20784
29,C4_01_1_1_Chlorophyll_A_001.tif,33.873,23339.077,11520,36896
30,C4_01_1_1_Chlorophyll_A_001.tif,54.717,20943.238,12096,34352
31,C4_01_1_1_Chlorophyll_A_001.tif,26.056,23184.000,12928,37216
32,C4_01_1_1_Chlorophyll_A_001.tif,44.295,21242.353,11568,33904
33,C4_01_1_1_Chlorophyll_A_001.tif,39.084,16532.267,11392,23952
34,C4_01_1_1_Chlorophyll_A_001.tif,31.267,17833.333,11152,25072
35,C4_01_1_1_Chlorophyll_A_001.tif,57.323,30514.909,11184,60832
36,C4_01_1_1_Chlorophyll_A_001.tif,28.661,16862.545,11392,23920
37,C4_01_1_1_Chlorophyll_A_001.tif,31.267,25524.000,11840,48880
38,C4_01_1_1_Chlorophyll_A_001.tif,26.056,19856.000,12992,28784
39,C4_01_1_1_Chlorophyll_A_001.tif,39.084,21907.200,12928,36128
40,C4_01_1_1_Chlorophyll_A_001.tif,44.295,20386.824,11296,31712
41,C4_01_1_1_Chlorophyll_A_001.tif,41.689,20333.000,11472,31888
42,C4_01_1_1_Chlorophyll_A_001.tif,33.873,22208.000,13568,34448
43,C4_01_1_1_Chlorophyll_A_001.tif,85.984,26237.576,11872,46160
44,C4_01_1_1_Chlorophyll_A_001.tif,36.478,26289.143,12928,47072
45,C4_01_1_1_Chlorophyll_A_001.tif,26.056,18320.000,11312,29392
46,C4_01_1_1_Chlorophyll_A_001.tif,36.478,19786.286,11120,29632
47,C4_01_1_1_Chlorophyll_A_001.tif,33.873,20903.385,12224,33632
48,C4_01_1_1_Chlorophyll_A_001.tif,36.478,18699.429,11360,29264
49,C4_01_1_1_Chlorophyll_A_001.tif,44.295,19623.529,11504,26720
50,C4_01_1_1_Chlorophyll_A_001.tif,31.267,20793.333,12496,34112
51,C4_01_1_1_Chlorophyll_A_001.tif,26.056,25534.400,15104,41680
52,C4_01_1_1_Chlorophyll_A_001.tif,41.689,21091.000,11200,37232
53,C4_01_1_1_Chlorophyll_A_001.tif,36.478,19558.857,11824,30560
54,C4_01_1_1_Chlorophyll_A_001.tif,41.689,22975.000,12960,37024
55,C4_01_1_1_Chlorophyll_A_001.tif,28.661,18401.455,11168,28848
56,C4_01_1_1_Chlorophyll_A_001.tif,49.506,25217.684,11904,42400
57,C4_01_1_1_Chlorophyll_A_001.tif,31.267,25378.667,11840,41344
58,C4_01_1_1_Chlorophyll_A_001.tif,28.661,18580.364,11840,30112
59,C4_01_1_1_Chlorophyll_A_001.tif,31.267,20352.000,11312,30096
