 ,Label,Area,Mean,Min,Max
1,D3_01_1_1_Chlorophyll_A_001.tif,26.056,16275.200,10944,22480
2,D3_01_1_1_Chlorophyll_A_001.tif,52.112,25757.600,12128,42288
3,D3_01_1_1_Chlorophyll_A_001.tif,41.689,22448.000,10384,42448
4,D3_01_1_1_Chlorophyll_A_001.tif,57.323,17664.727,10896,24128
5,D3_01_1_1_Chlorophyll_A_001.tif,33.873,23419.077,11184,41312
6,D3_01_1_1_Chlorophyll_A_001.tif,33.873,17553.231,11360,28320
7,D3_01_1_1_Chlorophyll_A_001.tif,41.689,21667.000,11184,32144
8,D3_01_1_1_Chlorophyll_A_001.tif,26.056,16398.400,10544,23168
9,D3_01_1_1_Chlorophyll_A_001.tif,46.900,17160.889,10480,27328
10,D3_01_1_1_Chlorophyll_A_001.tif,36.478,16046.857,11408,22848
11,D3_01_1_1_Chlorophyll_A_001.tif,39.084,17643.733,10512,27728
12,D3_01_1_1_Chlorophyll_A_001.tif,31.267,22726.667,11184,39984
13,D3_01_1_1_Chlorophyll_A_001.tif,49.506,18713.263,11328,27984
14,D3_01_1_1_Chlorophyll_A_001.tif,33.873,19021.538,11184,33584
15,D3_01_1_1_Chlorophyll_A_001.tif,44.295,17733.647,10672,26512
16,D3_01_1_1_Chlorophyll_A_001.tif,26.056,18235.200,10720,30992
17,D3_01_1_1_Chlorophyll_A_001.tif,26.056,17961.600,12160,30704
18,D3_01_1_1_Chlorophyll_A_001.tif,26.056,17086.400,11776,25440
19,D3_01_1_1_Chlorophyll_A_001.tif,26.056,19078.400,10336,29488
20,D3_01_1_1_Chlorophyll_A_001.tif,41.689,15910.000,11072,24816
21,D3_01_1_1_Chlorophyll_A_001.tif,28.661,28993.455,11504,56352
22,D3_01_1_1_Chlorophyll_A_001.tif,31.267,19554.667,10880,31904
23,D3_01_1_1_Chlorophyll_A_001.tif,44.295,20013.176,12320,31936
24,D3_01_1_1_Chlorophyll_A_001.tif,49.506,30811.789,11904,61792
25,D3_01_1_1_Chlorophyll_A_001.tif,26.056,18145.600,10336,36112
26,D3_01_1_1_Chlorophyll_A_001.tif,52.112,29764.800,13120,54368
27,D3_01_1_1_Chlorophyll_A_001.tif,46.900,25102.222,10432,45984
28,D3_01_1_1_Chlorophyll_A_001.tif,49.506,31193.263,10848,59888
29,D3_01_1_1_Chlorophyll_A_001.tif,57.323,20146.909,11376,35008
30,D3_01_1_1_Chlorophyll_A_001.tif,31.267,19244.000,10640,29280
31,D3_01_1_1_Chlorophyll_A_001.tif,36.478,28537.143,10656,48896
32,D3_01_1_1_Chlorophyll_A_001.tif,31.267,20352.000,10592,33600
33,D3_01_1_1_Chlorophyll_A_001.tif,49.506,17823.158,10480,28464
34,D3_01_1_1_Chlorophyll_A_001.tif,41.689,25364.000,10912,44016
35,D3_01_1_1_Chlorophyll_A_001.tif,39.084,18139.733,11248,31008
36,D3_01_1_1_Chlorophyll_A_001.tif,26.056,20275.200,11056,31856
37,D3_01_1_1_Chlorophyll_A_001.tif,26.056,16505.600,10528,24016
38,D3_01_1_1_Chlorophyll_A_001.tif,28.661,19060.364,10416,30432
39,D3_01_1_1_Chlorophyll_A_001.tif,31.267,19744.000,10576,33600
40,D3_01_1_1_Chlorophyll_A_001.tif,41.689,19348.000,10656,32992
41,D3_01_1_1_Chlorophyll_A_001.tif,28.661,18893.091,11344,27472
42,D3_01_1_1_Chlorophyll_A_001.tif,54.717,25363.810,10400,54656
43,D3_01_1_1_Chlorophyll_A_001.tif,26.056,19676.800,11648,30880
44,D3_01_1_1_Chlorophyll_A_001.tif,41.689,21896.000,12256,33360
45,D3_01_1_1_Chlorophyll_A_001.tif,31.267,16488.000,10704,23616
46,D3_01_1_1_Chlorophyll_A_001.tif,28.661,16541.091,11120,22992
47,D3_01_1_1_Chlorophyll_A_001.tif,26.056,15710.400,11296,20800
48,D3_01_1_1_Chlorophyll_A_001.tif,31.267,20192.000,10336,32224
49,D3_01_1_1_Chlorophyll_A_001.tif,31.267,24285.333,10464,44736
50,D3_01_1_1_Chlorophyll_A_001.tif,26.056,21209.600,10560,37008
51,D3_01_1_1_Chlorophyll_A_001.tif,28.661,20888.727,12080,32848
52,D3_01_1_1_Chlorophyll_A_001.tif,33.873,15750.154,11216,25024
53,D3_01_1_1_Chlorophyll_A_001.tif,26.056,16641.600,11920,24544
54,D3_01_1_1_Chlorophyll_A_001.tif,31.267,19668.000,12496,27456
55,D3_01_1_1_Chlorophyll_A_001.tif,31.267,18349.333,10784,27328
56,D3_01_1_1_Chlorophyll_A_001.tif,54.717,22077.714,10768,41760
57,D3_01_1_1_Chlorophyll_A_001.tif,31.267,22176.000,10416,39600
58,D3_01_1_1_Chlorophyll_A_001.tif,26.056,16635.200,10688,23712
59,D3_01_1_1_Chlorophyll_A_001.tif,65.140,28618.880,16704,47072
60,D3_01_1_1_Chlorophyll_A_001.tif,26.056,21654.400,10704,37840
61,D3_01_1_1_Chlorophyll_A_001.tif,59.928,17781.565,10464,29680
62,D3_01_1_1_Chlorophyll_A_001.tif,39.084,26664.533,11440,45168
63,D3_01_1_1_Chlorophyll_A_001.tif,28.661,17517.091,11632,24880
64,D3_01_1_1_Chlorophyll_A_001.tif,33.873,16946.462,10624,24672
65,D3_01_1_1_Chlorophyll_A_001.tif,44.295,23570.824,10784,39312
66,D3_01_1_1_Chlorophyll_A_001.tif,62.534,21751.333,11248,40384
67,D3_01_1_1_Chlorophyll_A_001.tif,28.661,16971.636,11504,27456
68,D3_01_1_1_Chlorophyll_A_001.tif,31.267,23677.333,10912,44480
