 ,Label,Area,Mean,Min,Max
1,D6_01_1_2_Chlorophyll_A_001.tif,117.251,3118.222,1312,11440
2,D6_01_1_2_Chlorophyll_A_001.tif,221.474,3367.718,1312,17584
3,D6_01_1_2_Chlorophyll_A_001.tif,208.447,3917.200,1296,19568
4,D6_01_1_2_Chlorophyll_A_001.tif,268.375,5672.388,1296,44256
5,D6_01_1_2_Chlorophyll_A_001.tif,213.658,3376.390,1296,25328
6,D6_01_1_2_Chlorophyll_A_001.tif,184.996,4721.577,1312,32320
7,D6_01_1_2_Chlorophyll_A_001.tif,265.769,4380.078,1296,25152
8,D6_01_1_2_Chlorophyll_A_001.tif,26.056,1409.600,1296,1472
9,D6_01_1_2_Chlorophyll_A_001.tif,463.794,4047.191,1296,31760
10,D6_01_1_2_Chlorophyll_A_001.tif,224.080,4828.465,1296,36480
11,D6_01_1_2_Chlorophyll_A_001.tif,234.502,4558.933,1296,29152
12,D6_01_1_2_Chlorophyll_A_001.tif,270.981,4491.846,1296,24704
13,D6_01_1_2_Chlorophyll_A_001.tif,182.391,3258.514,1296,11968
14,D6_01_1_2_Chlorophyll_A_001.tif,213.658,3727.220,1328,23696
15,D6_01_1_2_Chlorophyll_A_001.tif,211.052,4563.951,1296,31792
16,D6_01_1_2_Chlorophyll_A_001.tif,54.717,1484.190,1312,1648
17,D6_01_1_2_Chlorophyll_A_001.tif,247.530,3660.800,1296,25680
18,D6_01_1_2_Chlorophyll_A_001.tif,224.080,4773.581,1312,32624
19,D6_01_1_2_Chlorophyll_A_001.tif,203.235,4439.795,1296,35120
20,D6_01_1_2_Chlorophyll_A_001.tif,33.873,1372.308,1296,1504
21,D6_01_1_2_Chlorophyll_A_001.tif,250.136,4457.167,1296,33824
22,D6_01_1_2_Chlorophyll_A_001.tif,114.646,3260.727,1296,16080
23,D6_01_1_2_Chlorophyll_A_001.tif,31.267,1413.333,1312,1648
24,D6_01_1_2_Chlorophyll_A_001.tif,216.263,4808.096,1296,32016
25,D6_01_1_2_Chlorophyll_A_001.tif,80.773,2277.677,1296,5088
26,D6_01_1_2_Chlorophyll_A_001.tif,177.180,3661.882,1296,23024
27,D6_01_1_2_Chlorophyll_A_001.tif,244.925,4552.170,1312,31200
28,D6_01_1_2_Chlorophyll_A_001.tif,252.741,4508.371,1296,31984
29,D6_01_1_2_Chlorophyll_A_001.tif,218.869,4878.667,1296,27264
30,D6_01_1_2_Chlorophyll_A_001.tif,158.941,4751.475,1296,26000
31,D6_01_1_2_Chlorophyll_A_001.tif,278.797,4089.570,1296,24416
32,D6_01_1_2_Chlorophyll_A_001.tif,208.447,3906.200,1296,29312
33,D6_01_1_2_Chlorophyll_A_001.tif,156.335,3476.000,1296,17584
34,D6_01_1_2_Chlorophyll_A_001.tif,179.785,3788.290,1296,21776
35,D6_01_1_2_Chlorophyll_A_001.tif,106.829,3502.439,1296,16960
36,D6_01_1_2_Chlorophyll_A_001.tif,291.825,5135.143,1296,31504
37,D6_01_1_2_Chlorophyll_A_001.tif,221.474,5712.376,1312,36144
38,D6_01_1_2_Chlorophyll_A_001.tif,179.785,2482.783,1296,5632
39,D6_01_1_2_Chlorophyll_A_001.tif,184.996,3945.465,1328,25232
40,D6_01_1_2_Chlorophyll_A_001.tif,276.192,5706.415,1296,34656
41,D6_01_1_2_Chlorophyll_A_001.tif,101.618,1740.308,1296,2608
42,D6_01_1_2_Chlorophyll_A_001.tif,263.164,4210.218,1296,24512
43,D6_01_1_2_Chlorophyll_A_001.tif,156.335,2880.267,1296,7664
44,D6_01_1_2_Chlorophyll_A_001.tif,166.757,3580.250,1296,21200
45,D6_01_1_2_Chlorophyll_A_001.tif,109.434,2674.286,1296,8688
46,D6_01_1_2_Chlorophyll_A_001.tif,198.024,4566.526,1296,24880
47,D6_01_1_2_Chlorophyll_A_001.tif,380.415,4023.233,1296,26240
48,D6_01_1_2_Chlorophyll_A_001.tif,244.925,4288.851,1296,28816
49,D6_01_1_2_Chlorophyll_A_001.tif,153.729,2039.593,1296,3536
50,D6_01_1_2_Chlorophyll_A_001.tif,28.661,1426.909,1328,1568
51,D6_01_1_2_Chlorophyll_A_001.tif,231.897,4564.315,1296,27200
52,D6_01_1_2_Chlorophyll_A_001.tif,278.797,4365.607,1296,36224
53,D6_01_1_2_Chlorophyll_A_001.tif,244.925,3294.298,1312,19696
54,D6_01_1_2_Chlorophyll_A_001.tif,200.630,3380.156,1296,26080
55,D6_01_1_2_Chlorophyll_A_001.tif,218.869,3462.286,1312,25696
56,D6_01_1_2_Chlorophyll_A_001.tif,242.319,4457.806,1296,31136
57,D6_01_1_2_Chlorophyll_A_001.tif,213.658,4035.122,1296,34016
58,D6_01_1_2_Chlorophyll_A_001.tif,138.096,3337.358,1312,11696
59,D6_01_1_2_Chlorophyll_A_001.tif,226.686,2649.379,1296,16896
