 ,Label,Area,Mean,Min,Max
1,E10_01_1_2_Chlorophyll_A_001.tif,26.056,16414.400,9632,22096
2,E10_01_1_2_Chlorophyll_A_001.tif,26.056,15712.000,10064,23760
3,E10_01_1_2_Chlorophyll_A_001.tif,41.689,19165.000,9488,30736
4,E10_01_1_2_Chlorophyll_A_001.tif,36.478,18970.286,10864,31808
5,E10_01_1_2_Chlorophyll_A_001.tif,31.267,19413.333,10672,32336
6,E10_01_1_2_Chlorophyll_A_001.tif,26.056,16987.200,9424,27008
7,E10_01_1_2_Chlorophyll_A_001.tif,26.056,17540.800,10448,28944
8,E10_01_1_2_Chlorophyll_A_001.tif,33.873,20736.000,9888,39104
9,E10_01_1_2_Chlorophyll_A_001.tif,36.478,24690.286,9632,46432
10,E10_01_1_2_Chlorophyll_A_001.tif,36.478,15854.857,9744,22400
11,E10_01_1_2_Chlorophyll_A_001.tif,33.873,21176.615,11680,33648
12,E10_01_1_2_Chlorophyll_A_001.tif,41.689,17675.000,9616,27632
13,E10_01_1_2_Chlorophyll_A_001.tif,33.873,20156.308,10224,34704
14,E10_01_1_2_Chlorophyll_A_001.tif,28.661,19578.182,9712,38576
15,E10_01_1_2_Chlorophyll_A_001.tif,36.478,24356.571,13408,43744
16,E10_01_1_2_Chlorophyll_A_001.tif,26.056,14758.400,9424,22176
17,E10_01_1_2_Chlorophyll_A_001.tif,41.689,21869.000,10912,38288
18,E10_01_1_2_Chlorophyll_A_001.tif,28.661,18848.000,10352,29344
19,E10_01_1_2_Chlorophyll_A_001.tif,26.056,17540.800,10448,28880
20,E10_01_1_2_Chlorophyll_A_001.tif,31.267,16233.333,9696,25648
21,E10_01_1_2_Chlorophyll_A_001.tif,65.140,16067.840,10032,28656
22,E10_01_1_2_Chlorophyll_A_001.tif,28.661,16900.364,10064,25824
23,E10_01_1_2_Chlorophyll_A_001.tif,26.056,13718.400,10032,19648
24,E10_01_1_2_Chlorophyll_A_001.tif,31.267,17884.000,9552,32800
25,E10_01_1_2_Chlorophyll_A_001.tif,26.056,16569.600,11344,25504
26,E10_01_1_2_Chlorophyll_A_001.tif,26.056,15694.400,10640,26080
27,E10_01_1_2_Chlorophyll_A_001.tif,26.056,18228.800,10384,30992
28,E10_01_1_2_Chlorophyll_A_001.tif,31.267,19265.333,9472,30960
29,E10_01_1_2_Chlorophyll_A_001.tif,41.689,23310.000,9488,45632
30,E10_01_1_2_Chlorophyll_A_001.tif,26.056,21998.400,11824,37968
31,E10_01_1_2_Chlorophyll_A_001.tif,31.267,20905.333,10160,37696
32,E10_01_1_2_Chlorophyll_A_001.tif,39.084,20138.667,9824,33088
33,E10_01_1_2_Chlorophyll_A_001.tif,28.661,16824.727,10432,24176
34,E10_01_1_2_Chlorophyll_A_001.tif,33.873,15495.385,9760,27504
35,E10_01_1_2_Chlorophyll_A_001.tif,65.140,22198.400,10224,48864
36,E10_01_1_2_Chlorophyll_A_001.tif,36.478,19470.857,9536,35920
37,E10_01_1_2_Chlorophyll_A_001.tif,26.056,19948.800,10096,34496
38,E10_01_1_2_Chlorophyll_A_001.tif,31.267,20745.333,9808,35104
39,E10_01_1_2_Chlorophyll_A_001.tif,26.056,15179.200,9520,25568
40,E10_01_1_2_Chlorophyll_A_001.tif,39.084,29078.400,9984,48400
41,E10_01_1_2_Chlorophyll_A_001.tif,36.478,25212.571,11376,44752
42,E10_01_1_2_Chlorophyll_A_001.tif,26.056,17923.200,11872,21296
43,E10_01_1_2_Chlorophyll_A_001.tif,41.689,14741.000,9728,25296
44,E10_01_1_2_Chlorophyll_A_001.tif,78.167,22265.067,9472,41184
45,E10_01_1_2_Chlorophyll_A_001.tif,31.267,21409.333,12976,37376
46,E10_01_1_2_Chlorophyll_A_001.tif,26.056,17142.400,9984,27136
47,E10_01_1_2_Chlorophyll_A_001.tif,39.084,17934.933,9888,28560
48,E10_01_1_2_Chlorophyll_A_001.tif,31.267,17785.333,9472,31104
49,E10_01_1_2_Chlorophyll_A_001.tif,36.478,17684.571,9808,30992
50,E10_01_1_2_Chlorophyll_A_001.tif,33.873,15993.846,9632,24720
51,E10_01_1_2_Chlorophyll_A_001.tif,31.267,21552.000,10192,39520
52,E10_01_1_2_Chlorophyll_A_001.tif,26.056,19859.200,12336,30768
53,E10_01_1_2_Chlorophyll_A_001.tif,41.689,19166.000,10224,29632
54,E10_01_1_2_Chlorophyll_A_001.tif,28.661,17285.818,10112,26144
55,E10_01_1_2_Chlorophyll_A_001.tif,26.056,17308.800,9664,29440
56,E10_01_1_2_Chlorophyll_A_001.tif,33.873,18013.538,11280,32528
57,E10_01_1_2_Chlorophyll_A_001.tif,46.900,23064.889,9488,45280
58,E10_01_1_2_Chlorophyll_A_001.tif,28.661,17918.545,10096,27840
59,E10_01_1_2_Chlorophyll_A_001.tif,41.689,16080.000,9488,30112
60,E10_01_1_2_Chlorophyll_A_001.tif,31.267,18426.667,9664,30816
61,E10_01_1_2_Chlorophyll_A_001.tif,36.478,18958.857,9856,32480
62,E10_01_1_2_Chlorophyll_A_001.tif,36.478,18753.143,9920,33968
63,E10_01_1_2_Chlorophyll_A_001.tif,33.873,17644.308,10320,31520
64,E10_01_1_2_Chlorophyll_A_001.tif,26.056,16126.400,9456,27728
65,E10_01_1_2_Chlorophyll_A_001.tif,28.661,16704.000,9424,29680
66,E10_01_1_2_Chlorophyll_A_001.tif,36.478,23560.000,10736,37392
67,E10_01_1_2_Chlorophyll_A_001.tif,59.928,18921.739,9488,37168
68,E10_01_1_2_Chlorophyll_A_001.tif,33.873,23143.385,11488,42272
69,E10_01_1_2_Chlorophyll_A_001.tif,26.056,19851.200,10688,31712
70,E10_01_1_2_Chlorophyll_A_001.tif,31.267,16081.333,9600,28432
71,E10_01_1_2_Chlorophyll_A_001.tif,28.661,16848.000,10480,28112
72,E10_01_1_2_Chlorophyll_A_001.tif,31.267,20510.667,12448,33728
73,E10_01_1_2_Chlorophyll_A_001.tif,28.661,18855.273,12336,29808
74,E10_01_1_2_Chlorophyll_A_001.tif,26.056,14840.000,10144,20448
75,E10_01_1_2_Chlorophyll_A_001.tif,26.056,16275.200,10880,25424
76,E10_01_1_2_Chlorophyll_A_001.tif,26.056,16771.200,11600,24880
77,E10_01_1_2_Chlorophyll_A_001.tif,44.295,26083.765,9568,50544
78,E10_01_1_2_Chlorophyll_A_001.tif,36.478,22419.429,11312,41472
79,E10_01_1_2_Chlorophyll_A_001.tif,26.056,16600.000,10880,22208
80,E10_01_1_2_Chlorophyll_A_001.tif,28.661,17170.909,9584,27488
81,E10_01_1_2_Chlorophyll_A_001.tif,54.717,17608.381,10368,28416
82,E10_01_1_2_Chlorophyll_A_001.tif,26.056,20955.200,9616,38864
83,E10_01_1_2_Chlorophyll_A_001.tif,28.661,22218.182,9456,40560
84,E10_01_1_2_Chlorophyll_A_001.tif,26.056,19564.800,9504,33024
85,E10_01_1_2_Chlorophyll_A_001.tif,31.267,20426.667,10320,33568
86,E10_01_1_2_Chlorophyll_A_001.tif,26.056,16104.000,10368,26064
87,E10_01_1_2_Chlorophyll_A_001.tif,39.084,24407.467,9632,51872
88,E10_01_1_2_Chlorophyll_A_001.tif,49.506,21151.158,9568,43280
89,E10_01_1_2_Chlorophyll_A_001.tif,26.056,15329.600,9744,26832
90,E10_01_1_2_Chlorophyll_A_001.tif,33.873,17323.077,10048,25024
91,E10_01_1_2_Chlorophyll_A_001.tif,26.056,18611.200,9488,37216
92,E10_01_1_2_Chlorophyll_A_001.tif,31.267,14877.333,10016,26016
93,E10_01_1_2_Chlorophyll_A_001.tif,31.267,17614.667,9680,28752
94,E10_01_1_2_Chlorophyll_A_001.tif,28.661,21476.364,10928,38016
95,E10_01_1_2_Chlorophyll_A_001.tif,36.478,20838.857,10528,36944
96,E10_01_1_2_Chlorophyll_A_001.tif,26.056,16388.800,9504,26608
97,E10_01_1_2_Chlorophyll_A_001.tif,31.267,17101.333,11728,25024
98,E10_01_1_2_Chlorophyll_A_001.tif,28.661,20637.091,11504,33056
99,E10_01_1_2_Chlorophyll_A_001.tif,31.267,19889.333,9840,33504
100,E10_01_1_2_Chlorophyll_A_001.tif,44.295,17456.000,9680,29200
101,E10_01_1_2_Chlorophyll_A_001.tif,26.056,17280.000,9616,27024
102,E10_01_1_2_Chlorophyll_A_001.tif,33.873,18110.769,10496,31264
103,E10_01_1_2_Chlorophyll_A_001.tif,41.689,24419.000,11120,43088
104,E10_01_1_2_Chlorophyll_A_001.tif,33.873,19206.154,10320,35104
105,E10_01_1_2_Chlorophyll_A_001.tif,36.478,18949.714,10016,30512
106,E10_01_1_2_Chlorophyll_A_001.tif,36.478,21211.429,9408,41232
107,E10_01_1_2_Chlorophyll_A_001.tif,31.267,18976.000,10432,33824
