 ,Label,Area,Mean,Min,Max
1,F5_01_1_1_Chlorophyll_A_001.tif,31.267,17926.667,12208,25616
2,F5_01_1_1_Chlorophyll_A_001.tif,39.084,22129.067,11248,32512
3,F5_01_1_1_Chlorophyll_A_001.tif,28.661,16833.455,11264,24448
4,F5_01_1_1_Chlorophyll_A_001.tif,31.267,17996.000,10784,27664
5,F5_01_1_1_Chlorophyll_A_001.tif,31.267,20701.333,13344,29920
6,F5_01_1_1_Chlorophyll_A_001.tif,52.112,21803.200,10688,36656
7,F5_01_1_1_Chlorophyll_A_001.tif,26.056,21350.400,14544,29696
8,F5_01_1_1_Chlorophyll_A_001.tif,28.661,18148.364,10704,27344
9,F5_01_1_1_Chlorophyll_A_001.tif,39.084,19001.600,10832,27856
10,F5_01_1_1_Chlorophyll_A_001.tif,31.267,16897.333,11200,25488
11,F5_01_1_1_Chlorophyll_A_001.tif,31.267,17934.667,13344,25216
12,F5_01_1_1_Chlorophyll_A_001.tif,36.478,19074.286,11024,26784
13,F5_01_1_1_Chlorophyll_A_001.tif,39.084,20904.533,11328,33568
14,F5_01_1_1_Chlorophyll_A_001.tif,39.084,20278.400,10864,30704
15,F5_01_1_1_Chlorophyll_A_001.tif,26.056,18931.200,12944,28160
16,F5_01_1_1_Chlorophyll_A_001.tif,31.267,20772.000,14624,31936
17,F5_01_1_1_Chlorophyll_A_001.tif,39.084,22672.000,10816,43184
18,F5_01_1_1_Chlorophyll_A_001.tif,31.267,18069.333,10704,25040
19,F5_01_1_1_Chlorophyll_A_001.tif,36.478,24361.143,12432,40400
20,F5_01_1_1_Chlorophyll_A_001.tif,33.873,19939.692,11648,29856
21,F5_01_1_1_Chlorophyll_A_001.tif,36.478,20850.286,12544,31136
22,F5_01_1_1_Chlorophyll_A_001.tif,26.056,16011.200,11104,22624
23,F5_01_1_1_Chlorophyll_A_001.tif,33.873,20262.154,12368,31360
24,F5_01_1_1_Chlorophyll_A_001.tif,26.056,21286.400,14336,32544
25,F5_01_1_1_Chlorophyll_A_001.tif,36.478,21616.000,11856,32176
26,F5_01_1_1_Chlorophyll_A_001.tif,46.900,22621.333,11072,35568
27,F5_01_1_1_Chlorophyll_A_001.tif,36.478,18608.000,10880,26816
28,F5_01_1_1_Chlorophyll_A_001.tif,26.056,20958.400,10800,34176
29,F5_01_1_1_Chlorophyll_A_001.tif,28.661,14754.909,10704,18720
30,F5_01_1_1_Chlorophyll_A_001.tif,36.478,20485.714,12896,28672
31,F5_01_1_1_Chlorophyll_A_001.tif,33.873,18285.538,11424,27200
32,F5_01_1_1_Chlorophyll_A_001.tif,28.661,15140.364,11168,20320
33,F5_01_1_1_Chlorophyll_A_001.tif,39.084,18104.533,10816,25312
34,F5_01_1_1_Chlorophyll_A_001.tif,26.056,23264.000,10768,35712
35,F5_01_1_1_Chlorophyll_A_001.tif,44.295,21315.765,12496,32240
36,F5_01_1_1_Chlorophyll_A_001.tif,52.112,23628.800,11680,39088
37,F5_01_1_1_Chlorophyll_A_001.tif,46.900,16575.111,11232,26368
38,F5_01_1_1_Chlorophyll_A_001.tif,31.267,17485.333,12080,25120
39,F5_01_1_1_Chlorophyll_A_001.tif,31.267,24434.667,12624,40992
40,F5_01_1_1_Chlorophyll_A_001.tif,28.661,20171.636,10800,30272
41,F5_01_1_1_Chlorophyll_A_001.tif,33.873,16516.923,10816,23264
42,F5_01_1_1_Chlorophyll_A_001.tif,33.873,18013.538,10816,26000
43,F5_01_1_1_Chlorophyll_A_001.tif,41.689,20424.000,11424,34000
44,F5_01_1_1_Chlorophyll_A_001.tif,28.661,22384.000,12320,35808
45,F5_01_1_1_Chlorophyll_A_001.tif,28.661,16209.455,11184,25312
46,F5_01_1_1_Chlorophyll_A_001.tif,46.900,20670.222,11168,33120
47,F5_01_1_1_Chlorophyll_A_001.tif,36.478,25045.714,14672,41840
48,F5_01_1_1_Chlorophyll_A_001.tif,28.661,15456.000,11120,21776
49,F5_01_1_1_Chlorophyll_A_001.tif,41.689,25326.000,15744,37664
50,F5_01_1_1_Chlorophyll_A_001.tif,41.689,18625.000,10944,30416
