 ,Label,Area,Mean,Min,Max
1,G5_01_1_1_Chlorophyll_A_001.tif,36.478,522.286,432,704
2,G5_01_1_1_Chlorophyll_A_001.tif,28.661,500.364,432,560
3,G5_01_1_1_Chlorophyll_A_001.tif,28.661,475.636,432,560
4,G5_01_1_1_Chlorophyll_A_001.tif,28.661,512.000,432,624
5,G5_01_1_1_Chlorophyll_A_001.tif,26.056,515.200,448,672
6,G5_01_1_1_Chlorophyll_A_001.tif,31.267,477.333,432,608
7,G5_01_1_1_Chlorophyll_A_001.tif,26.056,502.400,432,592
8,G5_01_1_1_Chlorophyll_A_001.tif,31.267,476.000,432,560
9,G5_01_1_1_Chlorophyll_A_001.tif,26.056,523.200,464,624
10,G5_01_1_1_Chlorophyll_A_001.tif,44.295,524.235,432,640
11,G5_01_1_1_Chlorophyll_A_001.tif,36.478,500.571,448,608
12,G5_01_1_1_Chlorophyll_A_001.tif,33.873,504.615,432,576
13,G5_01_1_1_Chlorophyll_A_001.tif,39.084,528.000,448,672
14,G5_01_1_1_Chlorophyll_A_001.tif,28.661,498.909,432,720
15,G5_01_1_1_Chlorophyll_A_001.tif,33.873,493.538,432,640
16,G5_01_1_1_Chlorophyll_A_001.tif,28.661,496.000,432,608
17,G5_01_1_1_Chlorophyll_A_001.tif,28.661,484.364,432,608
18,G5_01_1_1_Chlorophyll_A_001.tif,31.267,493.333,432,560
19,G5_01_1_1_Chlorophyll_A_001.tif,26.056,499.200,432,576
20,G5_01_1_1_Chlorophyll_A_001.tif,26.056,484.800,432,592
21,G5_01_1_1_Chlorophyll_A_001.tif,26.056,526.400,464,640
22,G5_01_1_1_Chlorophyll_A_001.tif,44.295,496.000,432,592
23,G5_01_1_1_Chlorophyll_A_001.tif,26.056,507.200,448,656
24,G5_01_1_1_Chlorophyll_A_001.tif,26.056,481.600,432,544
25,G5_01_1_1_Chlorophyll_A_001.tif,46.900,502.222,432,752
26,G5_01_1_1_Chlorophyll_A_001.tif,28.661,490.182,432,640
27,G5_01_1_1_Chlorophyll_A_001.tif,33.873,513.231,432,640
28,G5_01_1_1_Chlorophyll_A_001.tif,28.661,516.364,432,656
29,G5_01_1_1_Chlorophyll_A_001.tif,26.056,488.000,448,528
30,G5_01_1_1_Chlorophyll_A_001.tif,26.056,488.000,432,592
31,G5_01_1_1_Chlorophyll_A_001.tif,28.661,522.182,432,672
32,G5_01_1_1_Chlorophyll_A_001.tif,26.056,483.200,432,560
33,G5_01_1_1_Chlorophyll_A_001.tif,31.267,505.333,432,624
34,G5_01_1_1_Chlorophyll_A_001.tif,31.267,510.667,448,624
35,G5_01_1_1_Chlorophyll_A_001.tif,26.056,512.000,432,704
36,G5_01_1_1_Chlorophyll_A_001.tif,26.056,499.200,432,592
37,G5_01_1_1_Chlorophyll_A_001.tif,36.478,534.857,448,704
38,G5_01_1_1_Chlorophyll_A_001.tif,26.056,528.000,432,832
39,G5_01_1_1_Chlorophyll_A_001.tif,26.056,515.200,432,688
40,G5_01_1_1_Chlorophyll_A_001.tif,26.056,492.800,432,576
41,G5_01_1_1_Chlorophyll_A_001.tif,26.056,500.800,432,656
42,G5_01_1_1_Chlorophyll_A_001.tif,28.661,530.909,432,640
43,G5_01_1_1_Chlorophyll_A_001.tif,28.661,491.636,432,576
44,G5_01_1_1_Chlorophyll_A_001.tif,31.267,512.000,432,592
45,G5_01_1_1_Chlorophyll_A_001.tif,26.056,480.000,432,576
46,G5_01_1_1_Chlorophyll_A_001.tif,28.661,491.636,432,656
