 ,Label,Area,Mean,Min,Max
1,B10_01_1_1_Chlorophyll_plate_28.tif,49.506,2621.474,832,5920
2,B10_01_1_1_Chlorophyll_plate_28.tif,492.455,6951.534,784,65520
3,B10_01_1_1_Chlorophyll_plate_28.tif,174.574,5059.582,784,33072
4,B10_01_1_1_Chlorophyll_plate_28.tif,119.857,5091.826,832,21072
5,B10_01_1_1_Chlorophyll_plate_28.tif,44.295,1649.882,800,3568
6,B10_01_1_1_Chlorophyll_plate_28.tif,244.925,5043.574,784,34352
7,B10_01_1_1_Chlorophyll_plate_28.tif,158.941,3466.754,784,27520
8,B10_01_1_1_Chlorophyll_plate_28.tif,70.351,2423.704,800,5648
9,B10_01_1_1_Chlorophyll_plate_28.tif,221.474,3602.447,784,25728
10,B10_01_1_1_Chlorophyll_plate_28.tif,164.152,4798.730,784,28208
11,B10_01_1_1_Chlorophyll_plate_28.tif,153.729,5274.305,800,25872
12,B10_01_1_1_Chlorophyll_plate_28.tif,78.167,4155.733,800,14960
13,B10_01_1_1_Chlorophyll_plate_28.tif,67.745,3998.769,784,18448
14,B10_01_1_1_Chlorophyll_plate_28.tif,221.474,4430.118,784,34880
15,B10_01_1_1_Chlorophyll_plate_28.tif,250.136,3586.167,784,33008
16,B10_01_1_1_Chlorophyll_plate_28.tif,93.801,3919.556,832,18384
17,B10_01_1_1_Chlorophyll_plate_28.tif,200.630,4157.091,784,33968
18,B10_01_1_1_Chlorophyll_plate_28.tif,70.351,2725.926,784,7856
19,B10_01_1_1_Chlorophyll_plate_28.tif,164.152,4293.841,816,26784
20,B10_01_1_1_Chlorophyll_plate_28.tif,255.347,4931.755,784,40880
21,B10_01_1_1_Chlorophyll_plate_28.tif,242.319,3896.774,784,28480
22,B10_01_1_1_Chlorophyll_plate_28.tif,211.052,4557.630,784,31456
23,B10_01_1_1_Chlorophyll_plate_28.tif,164.152,4318.730,784,26512
24,B10_01_1_1_Chlorophyll_plate_28.tif,91.195,2709.486,784,9200
25,B10_01_1_1_Chlorophyll_plate_28.tif,153.729,4294.508,784,24992
26,B10_01_1_1_Chlorophyll_plate_28.tif,140.701,3324.148,784,18000
27,B10_01_1_1_Chlorophyll_plate_28.tif,104.223,3952.800,784,15600
28,B10_01_1_1_Chlorophyll_plate_28.tif,114.646,2840.364,784,10672
29,B10_01_1_1_Chlorophyll_plate_28.tif,109.434,3827.810,784,17824
30,B10_01_1_1_Chlorophyll_plate_28.tif,195.419,4455.467,784,22144
31,B10_01_1_1_Chlorophyll_plate_28.tif,192.813,5254.703,800,36512
32,B10_01_1_1_Chlorophyll_plate_28.tif,93.801,4313.333,784,15376
33,B10_01_1_1_Chlorophyll_plate_28.tif,148.518,4110.596,784,24592
34,B10_01_1_1_Chlorophyll_plate_28.tif,231.897,4831.461,800,30560
35,B10_01_1_1_Chlorophyll_plate_28.tif,117.251,3388.800,784,17696
36,B10_01_1_1_Chlorophyll_plate_28.tif,80.773,3876.129,816,16128
37,B10_01_1_1_Chlorophyll_plate_28.tif,46.900,3303.111,944,8320
38,B10_01_1_1_Chlorophyll_plate_28.tif,57.323,2514.909,816,6080
39,B10_01_1_1_Chlorophyll_plate_28.tif,59.928,3348.870,800,9552
40,B10_01_1_1_Chlorophyll_plate_28.tif,208.447,3474.800,784,26112
41,B10_01_1_1_Chlorophyll_plate_28.tif,130.279,4573.440,784,22304
42,B10_01_1_1_Chlorophyll_plate_28.tif,216.263,3107.855,784,23008
43,B10_01_1_1_Chlorophyll_plate_28.tif,119.857,4840.000,800,22112
