 ,Label,Area,Mean,Min,Max
1,B11_01_1_2_Chlorophyll_plate_28.tif,41.689,24433.000,12176,42960
2,B11_01_1_2_Chlorophyll_plate_28.tif,49.506,22748.632,11360,36528
3,B11_01_1_2_Chlorophyll_plate_28.tif,46.900,25922.667,11952,44768
4,B11_01_1_2_Chlorophyll_plate_28.tif,46.900,26440.000,11296,45648
5,B11_01_1_2_Chlorophyll_plate_28.tif,135.490,25072.308,11280,40432
6,B11_01_1_2_Chlorophyll_plate_28.tif,33.873,19170.462,12720,28144
7,B11_01_1_2_Chlorophyll_plate_28.tif,39.084,23978.667,12192,43104
8,B11_01_1_2_Chlorophyll_plate_28.tif,39.084,26826.667,12160,45152
9,B11_01_1_2_Chlorophyll_plate_28.tif,41.689,23743.000,14256,36448
10,B11_01_1_2_Chlorophyll_plate_28.tif,62.534,25276.000,11264,45408
11,B11_01_1_2_Chlorophyll_plate_28.tif,39.084,22240.000,11360,39664
12,B11_01_1_2_Chlorophyll_plate_28.tif,26.056,16043.200,11360,21504
13,B11_01_1_2_Chlorophyll_plate_28.tif,41.689,25008.000,11520,45920
14,B11_01_1_2_Chlorophyll_plate_28.tif,33.873,18180.923,11408,28192
15,B11_01_1_2_Chlorophyll_plate_28.tif,26.056,17326.400,11936,24272
16,B11_01_1_2_Chlorophyll_plate_28.tif,78.167,22276.267,11296,42816
17,B11_01_1_2_Chlorophyll_plate_28.tif,31.267,18134.667,11248,27232
18,B11_01_1_2_Chlorophyll_plate_28.tif,39.084,26231.467,14464,41664
19,B11_01_1_2_Chlorophyll_plate_28.tif,33.873,21671.385,12208,35424
20,B11_01_1_2_Chlorophyll_plate_28.tif,31.267,20232.000,12512,32256
21,B11_01_1_2_Chlorophyll_plate_28.tif,41.689,26913.000,11648,45200
22,B11_01_1_2_Chlorophyll_plate_28.tif,31.267,20514.667,12032,33136
23,B11_01_1_2_Chlorophyll_plate_28.tif,33.873,21170.462,13168,33968
24,B11_01_1_2_Chlorophyll_plate_28.tif,31.267,25840.000,11360,50992
25,B11_01_1_2_Chlorophyll_plate_28.tif,31.267,22058.667,12752,33904
26,B11_01_1_2_Chlorophyll_plate_28.tif,36.478,22491.429,12368,35408
27,B11_01_1_2_Chlorophyll_plate_28.tif,26.056,19416.000,12048,26064
28,B11_01_1_2_Chlorophyll_plate_28.tif,28.661,24290.909,13088,38368
29,B11_01_1_2_Chlorophyll_plate_28.tif,33.873,19641.846,13200,29392
30,B11_01_1_2_Chlorophyll_plate_28.tif,54.717,22782.476,12736,37440
31,B11_01_1_2_Chlorophyll_plate_28.tif,41.689,20252.000,13936,29232
32,B11_01_1_2_Chlorophyll_plate_28.tif,26.056,18844.800,11824,29680
33,B11_01_1_2_Chlorophyll_plate_28.tif,26.056,21220.800,11760,31456
34,B11_01_1_2_Chlorophyll_plate_28.tif,83.379,24072.000,11424,42176
35,B11_01_1_2_Chlorophyll_plate_28.tif,28.661,19409.455,11504,29408
36,B11_01_1_2_Chlorophyll_plate_28.tif,33.873,20572.308,11264,32912
37,B11_01_1_2_Chlorophyll_plate_28.tif,54.717,22816.000,12432,36544
38,B11_01_1_2_Chlorophyll_plate_28.tif,28.661,22930.909,13536,35632
39,B11_01_1_2_Chlorophyll_plate_28.tif,31.267,19548.000,11504,29504
40,B11_01_1_2_Chlorophyll_plate_28.tif,31.267,21974.667,11600,34592
