 ,Label,Area,Mean,Min,Max
1,C4_01_1_1_Chlorophyll_plate_19.tif,26.056,21633.600,15232,30944
2,C4_01_1_1_Chlorophyll_plate_19.tif,31.267,26718.667,15456,45232
3,C4_01_1_1_Chlorophyll_plate_19.tif,26.056,24555.200,14592,36240
4,C4_01_1_1_Chlorophyll_plate_19.tif,28.661,24536.727,15872,35824
5,C4_01_1_1_Chlorophyll_plate_19.tif,26.056,20940.800,16128,27072
6,C4_01_1_1_Chlorophyll_plate_19.tif,44.295,28634.353,15584,45504
7,C4_01_1_1_Chlorophyll_plate_19.tif,28.661,28893.091,15168,43456
8,C4_01_1_1_Chlorophyll_plate_19.tif,28.661,22324.364,14960,35376
9,C4_01_1_1_Chlorophyll_plate_19.tif,31.267,24124.000,16912,33760
10,C4_01_1_1_Chlorophyll_plate_19.tif,33.873,27019.077,15328,46848
11,C4_01_1_1_Chlorophyll_plate_19.tif,106.829,33082.537,14496,61216
12,C4_01_1_1_Chlorophyll_plate_19.tif,39.084,30984.533,15328,50848
13,C4_01_1_1_Chlorophyll_plate_19.tif,31.267,23137.333,15888,33744
14,C4_01_1_1_Chlorophyll_plate_19.tif,39.084,27826.133,15536,39072
15,C4_01_1_1_Chlorophyll_plate_19.tif,26.056,31040.000,15056,55824
16,C4_01_1_1_Chlorophyll_plate_19.tif,39.084,30711.467,16944,47440
17,C4_01_1_1_Chlorophyll_plate_19.tif,101.618,32647.795,15744,65248
18,C4_01_1_1_Chlorophyll_plate_19.tif,28.661,29403.636,17920,46704
19,C4_01_1_1_Chlorophyll_plate_19.tif,65.140,31507.840,15536,53424
20,C4_01_1_1_Chlorophyll_plate_19.tif,26.056,30441.600,15296,54368
21,C4_01_1_1_Chlorophyll_plate_19.tif,26.056,24508.800,14832,37520
22,C4_01_1_1_Chlorophyll_plate_19.tif,39.084,28896.000,14864,38816
23,C4_01_1_1_Chlorophyll_plate_19.tif,36.478,25656.000,15504,35360
24,C4_01_1_1_Chlorophyll_plate_19.tif,36.478,31883.429,15200,52272
25,C4_01_1_1_Chlorophyll_plate_19.tif,49.506,35799.579,14816,60624
26,C4_01_1_1_Chlorophyll_plate_19.tif,28.661,25687.273,15344,36736
27,C4_01_1_1_Chlorophyll_plate_19.tif,28.661,27591.273,15744,47376
28,C4_01_1_1_Chlorophyll_plate_19.tif,26.056,21481.600,14640,33424
29,C4_01_1_1_Chlorophyll_plate_19.tif,28.661,26263.273,14768,40016
30,C4_01_1_1_Chlorophyll_plate_19.tif,36.478,27298.286,14544,42992
31,C4_01_1_1_Chlorophyll_plate_19.tif,39.084,27955.200,16464,41744
32,C4_01_1_1_Chlorophyll_plate_19.tif,28.661,28410.182,14672,44912
33,C4_01_1_1_Chlorophyll_plate_19.tif,31.267,24105.333,14560,36576
34,C4_01_1_1_Chlorophyll_plate_19.tif,31.267,29178.667,17776,40944
35,C4_01_1_1_Chlorophyll_plate_19.tif,49.506,28238.316,14848,43888
36,C4_01_1_1_Chlorophyll_plate_19.tif,28.661,22769.455,15904,30704
37,C4_01_1_1_Chlorophyll_plate_19.tif,28.661,30445.091,18016,45184
38,C4_01_1_1_Chlorophyll_plate_19.tif,33.873,26744.615,15568,40176
39,C4_01_1_1_Chlorophyll_plate_19.tif,33.873,23970.462,16080,36352
40,C4_01_1_1_Chlorophyll_plate_19.tif,33.873,26982.154,16512,39472
41,C4_01_1_1_Chlorophyll_plate_19.tif,26.056,22798.400,15152,33616
42,C4_01_1_1_Chlorophyll_plate_19.tif,33.873,25320.615,14480,38384
43,C4_01_1_1_Chlorophyll_plate_19.tif,36.478,33964.571,16256,56128
44,C4_01_1_1_Chlorophyll_plate_19.tif,33.873,28914.462,16256,42320
45,C4_01_1_1_Chlorophyll_plate_19.tif,26.056,22648.000,15376,32064
46,C4_01_1_1_Chlorophyll_plate_19.tif,26.056,25072.000,15856,36560
47,C4_01_1_1_Chlorophyll_plate_19.tif,62.534,27348.667,15808,43824
48,C4_01_1_1_Chlorophyll_plate_19.tif,44.295,30168.471,14544,57952
49,C4_01_1_1_Chlorophyll_plate_19.tif,31.267,34869.333,21888,56704
50,C4_01_1_1_Chlorophyll_plate_19.tif,41.689,26455.000,15152,37456
51,C4_01_1_1_Chlorophyll_plate_19.tif,28.661,26081.455,15008,36352
52,C4_01_1_1_Chlorophyll_plate_19.tif,26.056,24851.200,18848,34976
53,C4_01_1_1_Chlorophyll_plate_19.tif,33.873,24214.154,15360,33792
54,C4_01_1_1_Chlorophyll_plate_19.tif,28.661,23735.273,15088,32656
55,C4_01_1_1_Chlorophyll_plate_19.tif,49.506,37675.789,18928,65520
56,C4_01_1_1_Chlorophyll_plate_19.tif,31.267,26097.333,15424,41344
57,C4_01_1_1_Chlorophyll_plate_19.tif,36.478,25292.571,14800,37920
58,C4_01_1_1_Chlorophyll_plate_19.tif,33.873,23587.692,14960,32240
59,C4_01_1_1_Chlorophyll_plate_19.tif,41.689,30372.000,16480,47584
60,C4_01_1_1_Chlorophyll_plate_19.tif,31.267,24908.000,14480,37664
61,C4_01_1_1_Chlorophyll_plate_19.tif,41.689,24957.000,15184,37200
62,C4_01_1_1_Chlorophyll_plate_19.tif,33.873,24484.923,14496,33696
63,C4_01_1_1_Chlorophyll_plate_19.tif,26.056,28052.800,15328,45536
