 ,Label,Area,Mean,Min,Max
1,D11_01_1_1_Chlorophyll_plate_28.tif,39.084,27318.400,10096,54128
2,D11_01_1_1_Chlorophyll_plate_28.tif,31.267,20742.667,10768,33792
3,D11_01_1_1_Chlorophyll_plate_28.tif,33.873,20017.231,11392,32800
4,D11_01_1_1_Chlorophyll_plate_28.tif,31.267,16946.667,10096,24880
5,D11_01_1_1_Chlorophyll_plate_28.tif,26.056,18094.400,10096,27552
6,D11_01_1_1_Chlorophyll_plate_28.tif,36.478,21061.714,10976,39824
7,D11_01_1_1_Chlorophyll_plate_28.tif,31.267,17665.333,10288,25712
8,D11_01_1_1_Chlorophyll_plate_28.tif,44.295,25298.824,10432,46048
9,D11_01_1_1_Chlorophyll_plate_28.tif,33.873,16343.385,10336,26016
10,D11_01_1_1_Chlorophyll_plate_28.tif,31.267,15020.000,10240,25904
11,D11_01_1_1_Chlorophyll_plate_28.tif,41.689,22885.000,10752,39664
12,D11_01_1_1_Chlorophyll_plate_28.tif,31.267,17270.667,10176,26016
13,D11_01_1_1_Chlorophyll_plate_28.tif,26.056,15428.800,10272,22160
14,D11_01_1_1_Chlorophyll_plate_28.tif,49.506,22181.053,10480,38928
15,D11_01_1_1_Chlorophyll_plate_28.tif,44.295,18873.412,10464,30384
16,D11_01_1_1_Chlorophyll_plate_28.tif,31.267,23830.667,10240,43616
17,D11_01_1_1_Chlorophyll_plate_28.tif,33.873,21399.385,10608,32720
18,D11_01_1_1_Chlorophyll_plate_28.tif,26.056,15576.000,11632,22368
19,D11_01_1_1_Chlorophyll_plate_28.tif,31.267,17185.333,10464,24544
20,D11_01_1_1_Chlorophyll_plate_28.tif,28.661,17498.182,11040,24192
21,D11_01_1_1_Chlorophyll_plate_28.tif,49.506,18002.526,10320,30032
22,D11_01_1_1_Chlorophyll_plate_28.tif,26.056,17910.400,10560,29120
23,D11_01_1_1_Chlorophyll_plate_28.tif,36.478,19998.857,11984,31968
24,D11_01_1_1_Chlorophyll_plate_28.tif,31.267,21220.000,11440,34128
25,D11_01_1_1_Chlorophyll_plate_28.tif,26.056,16089.600,10208,25616
26,D11_01_1_1_Chlorophyll_plate_28.tif,28.661,20232.727,11408,32448
27,D11_01_1_1_Chlorophyll_plate_28.tif,44.295,23416.471,13808,34944
28,D11_01_1_1_Chlorophyll_plate_28.tif,28.661,17854.545,10512,25552
29,D11_01_1_1_Chlorophyll_plate_28.tif,49.506,25734.737,11856,45616
30,D11_01_1_1_Chlorophyll_plate_28.tif,28.661,17480.727,11024,28544
31,D11_01_1_1_Chlorophyll_plate_28.tif,41.689,21187.000,10480,38656
32,D11_01_1_1_Chlorophyll_plate_28.tif,28.661,15925.818,10240,24208
33,D11_01_1_1_Chlorophyll_plate_28.tif,49.506,25344.842,10208,42480
34,D11_01_1_1_Chlorophyll_plate_28.tif,36.478,18842.286,10384,29072
35,D11_01_1_1_Chlorophyll_plate_28.tif,28.661,20856.727,13808,32768
36,D11_01_1_1_Chlorophyll_plate_28.tif,36.478,18210.286,10256,30400
37,D11_01_1_1_Chlorophyll_plate_28.tif,26.056,19268.800,11248,29872
38,D11_01_1_1_Chlorophyll_plate_28.tif,49.506,20643.368,10400,32240
39,D11_01_1_1_Chlorophyll_plate_28.tif,44.295,20913.882,11296,34848
40,D11_01_1_1_Chlorophyll_plate_28.tif,33.873,18204.308,10880,26096
41,D11_01_1_1_Chlorophyll_plate_28.tif,28.661,18157.091,10512,24480
42,D11_01_1_1_Chlorophyll_plate_28.tif,54.717,22684.190,10192,38352
43,D11_01_1_1_Chlorophyll_plate_28.tif,31.267,18866.667,11280,26112
44,D11_01_1_1_Chlorophyll_plate_28.tif,28.661,19168.000,10624,26992
45,D11_01_1_1_Chlorophyll_plate_28.tif,31.267,16004.000,10912,23632
46,D11_01_1_1_Chlorophyll_plate_28.tif,39.084,23211.733,11632,41152
47,D11_01_1_1_Chlorophyll_plate_28.tif,28.661,17088.000,10912,25872
48,D11_01_1_1_Chlorophyll_plate_28.tif,26.056,16188.800,10304,25248
49,D11_01_1_1_Chlorophyll_plate_28.tif,28.661,22977.455,10544,39136
50,D11_01_1_1_Chlorophyll_plate_28.tif,26.056,22648.000,12688,41008
51,D11_01_1_1_Chlorophyll_plate_28.tif,31.267,17106.667,11376,26336
52,D11_01_1_1_Chlorophyll_plate_28.tif,36.478,22330.286,10784,34336
53,D11_01_1_1_Chlorophyll_plate_28.tif,49.506,16352.000,10656,26272
54,D11_01_1_1_Chlorophyll_plate_28.tif,26.056,13657.600,10624,18048
55,D11_01_1_1_Chlorophyll_plate_28.tif,52.112,18820.800,10096,37344
56,D11_01_1_1_Chlorophyll_plate_28.tif,33.873,19900.308,10320,30704
57,D11_01_1_1_Chlorophyll_plate_28.tif,36.478,18228.571,11536,27456
58,D11_01_1_1_Chlorophyll_plate_28.tif,26.056,22070.400,10192,39168
59,D11_01_1_1_Chlorophyll_plate_28.tif,26.056,20683.200,10880,33248
60,D11_01_1_1_Chlorophyll_plate_28.tif,26.056,18779.200,10592,27904
61,D11_01_1_1_Chlorophyll_plate_28.tif,31.267,16910.667,10368,26864
62,D11_01_1_1_Chlorophyll_plate_28.tif,36.478,21294.857,10800,35136
63,D11_01_1_1_Chlorophyll_plate_28.tif,31.267,20253.333,12192,29232
64,D11_01_1_1_Chlorophyll_plate_28.tif,33.873,15801.846,10256,21856
