 ,Label,Area,Mean,Min,Max
1,E2_01_1_2_Chlorophyll_plate_28.tif,70.351,2953.481,1584,6208
2,E2_01_1_2_Chlorophyll_plate_28.tif,349.148,5701.970,1584,39360
3,E2_01_1_2_Chlorophyll_plate_28.tif,91.195,4487.771,1600,14688
4,E2_01_1_2_Chlorophyll_plate_28.tif,237.108,5246.593,1584,38192
5,E2_01_1_2_Chlorophyll_plate_28.tif,195.419,4447.787,1584,22448
6,E2_01_1_2_Chlorophyll_plate_28.tif,336.120,4835.101,1584,21968
7,E2_01_1_2_Chlorophyll_plate_28.tif,85.984,4317.576,1648,14368
8,E2_01_1_2_Chlorophyll_plate_28.tif,85.984,2775.273,1600,5680
9,E2_01_1_2_Chlorophyll_plate_28.tif,36.478,1782.857,1584,2160
10,E2_01_1_2_Chlorophyll_plate_28.tif,203.235,6501.333,1584,26528
11,E2_01_1_2_Chlorophyll_plate_28.tif,114.646,4199.636,1600,12096
12,E2_01_1_2_Chlorophyll_plate_28.tif,72.956,2852.571,1584,6080
13,E2_01_1_2_Chlorophyll_plate_28.tif,119.857,3684.522,1584,10672
14,E2_01_1_2_Chlorophyll_plate_28.tif,208.447,5648.400,1584,35744
15,E2_01_1_2_Chlorophyll_plate_28.tif,281.403,5307.704,1584,38368
16,E2_01_1_2_Chlorophyll_plate_28.tif,122.462,4730.213,1584,28352
17,E2_01_1_2_Chlorophyll_plate_28.tif,104.223,4050.000,1632,14976
18,E2_01_1_2_Chlorophyll_plate_28.tif,234.502,7481.244,1584,37120
19,E2_01_1_2_Chlorophyll_plate_28.tif,109.434,4239.238,1584,18272
20,E2_01_1_2_Chlorophyll_plate_28.tif,125.068,4241.000,1600,15632
21,E2_01_1_2_Chlorophyll_plate_28.tif,273.586,7719.924,1584,55504
22,E2_01_1_2_Chlorophyll_plate_28.tif,270.981,5519.846,1584,26384
23,E2_01_1_2_Chlorophyll_plate_28.tif,289.220,5552.721,1584,29856
24,E2_01_1_2_Chlorophyll_plate_28.tif,375.204,6310.333,1584,46560
25,E2_01_1_2_Chlorophyll_plate_28.tif,218.869,4455.429,1584,22480
26,E2_01_1_2_Chlorophyll_plate_28.tif,177.180,4621.412,1584,23040
27,E2_01_1_2_Chlorophyll_plate_28.tif,164.152,4090.921,1600,22448
28,E2_01_1_2_Chlorophyll_plate_28.tif,164.152,5373.206,1648,25136
29,E2_01_1_2_Chlorophyll_plate_28.tif,268.375,5886.136,1584,35552
30,E2_01_1_2_Chlorophyll_plate_28.tif,101.618,3222.564,1584,8992
31,E2_01_1_2_Chlorophyll_plate_28.tif,119.857,3745.043,1600,13040
32,E2_01_1_2_Chlorophyll_plate_28.tif,218.869,4838.286,1584,26576
33,E2_01_1_2_Chlorophyll_plate_28.tif,59.928,3187.478,1584,9424
34,E2_01_1_2_Chlorophyll_plate_28.tif,226.686,5660.874,1584,39056
35,E2_01_1_2_Chlorophyll_plate_28.tif,148.518,4003.368,1600,18912
36,E2_01_1_2_Chlorophyll_plate_28.tif,117.251,2815.644,1600,5792
37,E2_01_1_2_Chlorophyll_plate_28.tif,291.825,6690.714,1584,45168
38,E2_01_1_2_Chlorophyll_plate_28.tif,166.757,3661.250,1584,18960
39,E2_01_1_2_Chlorophyll_plate_28.tif,229.291,4548.364,1584,25328
40,E2_01_1_2_Chlorophyll_plate_28.tif,205.841,5550.177,1584,42848
41,E2_01_1_2_Chlorophyll_plate_28.tif,211.052,6565.136,1584,43968
42,E2_01_1_2_Chlorophyll_plate_28.tif,208.447,4356.800,1600,24048
43,E2_01_1_2_Chlorophyll_plate_28.tif,122.462,4037.787,1584,17072
44,E2_01_1_2_Chlorophyll_plate_28.tif,130.279,4433.280,1584,21616
45,E2_01_1_2_Chlorophyll_plate_28.tif,226.686,5017.563,1600,34448
46,E2_01_1_2_Chlorophyll_plate_28.tif,153.729,4635.119,1584,23168
47,E2_01_1_2_Chlorophyll_plate_28.tif,393.443,5149.987,1584,37776
48,E2_01_1_2_Chlorophyll_plate_28.tif,125.068,2929.000,1584,6560
49,E2_01_1_2_Chlorophyll_plate_28.tif,62.534,2076.667,1584,3056
50,E2_01_1_2_Chlorophyll_plate_28.tif,231.897,4747.685,1584,27312
51,E2_01_1_2_Chlorophyll_plate_28.tif,270.981,5540.154,1584,29920
52,E2_01_1_2_Chlorophyll_plate_28.tif,151.124,4374.345,1600,19232
53,E2_01_1_2_Chlorophyll_plate_28.tif,294.431,6082.124,1584,41872
54,E2_01_1_2_Chlorophyll_plate_28.tif,216.263,6008.675,1584,34032
55,E2_01_1_2_Chlorophyll_plate_28.tif,239.714,4880.000,1584,27376
56,E2_01_1_2_Chlorophyll_plate_28.tif,26.056,1665.600,1584,1760
57,E2_01_1_2_Chlorophyll_plate_28.tif,122.462,3724.255,1584,13424
58,E2_01_1_2_Chlorophyll_plate_28.tif,216.263,4796.916,1584,21392
59,E2_01_1_2_Chlorophyll_plate_28.tif,125.068,4145.000,1600,18560
60,E2_01_1_2_Chlorophyll_plate_28.tif,99.012,3353.684,1584,14832
61,E2_01_1_2_Chlorophyll_plate_28.tif,213.658,5786.927,1584,36384
62,E2_01_1_2_Chlorophyll_plate_28.tif,28.661,1863.273,1616,2320
63,E2_01_1_2_Chlorophyll_plate_28.tif,299.642,6347.687,1584,51120
64,E2_01_1_2_Chlorophyll_plate_28.tif,268.375,5106.175,1600,32656
65,E2_01_1_2_Chlorophyll_plate_28.tif,260.558,6511.200,1584,38224
66,E2_01_1_2_Chlorophyll_plate_28.tif,106.829,3459.122,1584,9328
67,E2_01_1_2_Chlorophyll_plate_28.tif,198.024,4694.316,1584,27712
68,E2_01_1_2_Chlorophyll_plate_28.tif,286.614,6963.782,1600,53440
69,E2_01_1_2_Chlorophyll_plate_28.tif,171.968,4615.758,1616,23056
70,E2_01_1_2_Chlorophyll_plate_28.tif,161.546,3988.387,1584,19552
71,E2_01_1_2_Chlorophyll_plate_28.tif,216.263,5362.313,1584,30768
72,E2_01_1_2_Chlorophyll_plate_28.tif,286.614,6693.673,1584,43520
73,E2_01_1_2_Chlorophyll_plate_28.tif,72.956,3419.429,1584,8784
74,E2_01_1_2_Chlorophyll_plate_28.tif,145.913,4230.286,1584,21120
75,E2_01_1_2_Chlorophyll_plate_28.tif,252.741,5895.423,1584,40272
76,E2_01_1_2_Chlorophyll_plate_28.tif,205.841,4670.785,1584,24176
77,E2_01_1_2_Chlorophyll_plate_28.tif,195.419,4952.960,1584,22576
78,E2_01_1_2_Chlorophyll_plate_28.tif,70.351,3016.296,1600,6352
79,E2_01_1_2_Chlorophyll_plate_28.tif,213.658,4801.171,1584,38640
80,E2_01_1_2_Chlorophyll_plate_28.tif,229.291,4668.182,1584,29776
81,E2_01_1_2_Chlorophyll_plate_28.tif,148.518,4441.263,1584,19088
82,E2_01_1_2_Chlorophyll_plate_28.tif,177.180,3806.588,1616,20944
83,E2_01_1_2_Chlorophyll_plate_28.tif,72.956,2406.286,1600,3856
84,E2_01_1_2_Chlorophyll_plate_28.tif,216.263,5852.337,1584,34976
85,E2_01_1_2_Chlorophyll_plate_28.tif,80.773,3088.516,1584,5984
86,E2_01_1_2_Chlorophyll_plate_28.tif,33.873,1715.692,1584,2016
87,E2_01_1_2_Chlorophyll_plate_28.tif,231.897,5040.000,1584,29168
88,E2_01_1_2_Chlorophyll_plate_28.tif,164.152,4613.333,1584,21456
89,E2_01_1_2_Chlorophyll_plate_28.tif,255.347,6305.143,1584,49200
90,E2_01_1_2_Chlorophyll_plate_28.tif,229.291,5360.727,1584,32832
91,E2_01_1_2_Chlorophyll_plate_28.tif,299.642,6812.522,1584,50528
92,E2_01_1_2_Chlorophyll_plate_28.tif,26.056,1712.000,1584,1920
93,E2_01_1_2_Chlorophyll_plate_28.tif,200.630,5246.961,1600,28240
94,E2_01_1_2_Chlorophyll_plate_28.tif,237.108,5867.253,1584,28272
95,E2_01_1_2_Chlorophyll_plate_28.tif,216.263,5766.169,1584,35360
96,E2_01_1_2_Chlorophyll_plate_28.tif,49.506,2608.000,1584,4224
97,E2_01_1_2_Chlorophyll_plate_28.tif,257.953,4773.657,1584,28400
98,E2_01_1_2_Chlorophyll_plate_28.tif,70.351,2339.556,1584,3504
99,E2_01_1_2_Chlorophyll_plate_28.tif,99.012,2933.895,1616,6496
100,E2_01_1_2_Chlorophyll_plate_28.tif,132.885,3034.353,1616,7216
101,E2_01_1_2_Chlorophyll_plate_28.tif,148.518,3967.158,1632,21264
102,E2_01_1_2_Chlorophyll_plate_28.tif,138.096,3855.698,1584,15680
103,E2_01_1_2_Chlorophyll_plate_28.tif,221.474,4628.706,1600,29248
104,E2_01_1_2_Chlorophyll_plate_28.tif,140.701,3674.074,1584,12160
105,E2_01_1_2_Chlorophyll_plate_28.tif,182.391,4002.971,1584,28112
106,E2_01_1_2_Chlorophyll_plate_28.tif,174.574,3833.791,1584,18496
107,E2_01_1_2_Chlorophyll_plate_28.tif,211.052,4272.790,1584,31136
108,E2_01_1_2_Chlorophyll_plate_28.tif,161.546,3508.645,1584,17424
109,E2_01_1_2_Chlorophyll_plate_28.tif,224.080,4304.744,1584,25104
110,E2_01_1_2_Chlorophyll_plate_28.tif,250.136,6531.000,1584,41008
111,E2_01_1_2_Chlorophyll_plate_28.tif,291.825,6968.857,1616,47760
112,E2_01_1_2_Chlorophyll_plate_28.tif,299.642,5863.096,1584,47328
113,E2_01_1_2_Chlorophyll_plate_28.tif,83.379,3294.500,1632,7648
114,E2_01_1_2_Chlorophyll_plate_28.tif,166.757,5155.750,1584,23232
115,E2_01_1_2_Chlorophyll_plate_28.tif,161.546,4252.903,1584,24432
116,E2_01_1_2_Chlorophyll_plate_28.tif,265.769,4572.392,1584,34768
117,E2_01_1_2_Chlorophyll_plate_28.tif,203.235,4934.974,1584,31456
118,E2_01_1_2_Chlorophyll_plate_28.tif,179.785,4974.377,1584,24768
119,E2_01_1_2_Chlorophyll_plate_28.tif,291.825,4415.571,1600,18864
120,E2_01_1_2_Chlorophyll_plate_28.tif,80.773,2741.161,1584,5616
121,E2_01_1_2_Chlorophyll_plate_28.tif,125.068,3865.333,1584,12032
122,E2_01_1_2_Chlorophyll_plate_28.tif,260.558,5761.760,1584,40032
123,E2_01_1_2_Chlorophyll_plate_28.tif,198.024,5761.263,1584,29872
124,E2_01_1_2_Chlorophyll_plate_28.tif,78.167,2872.000,1584,4992
125,E2_01_1_2_Chlorophyll_plate_28.tif,26.056,1777.600,1584,2064
126,E2_01_1_2_Chlorophyll_plate_28.tif,377.809,5694.014,1584,36944
127,E2_01_1_2_Chlorophyll_plate_28.tif,294.431,5429.522,1584,38144
128,E2_01_1_2_Chlorophyll_plate_28.tif,135.490,2616.923,1584,5600
129,E2_01_1_2_Chlorophyll_plate_28.tif,333.515,4990.750,1584,42624
130,E2_01_1_2_Chlorophyll_plate_28.tif,216.263,3741.687,1600,19712
131,E2_01_1_2_Chlorophyll_plate_28.tif,184.996,4093.746,1600,26032
132,E2_01_1_2_Chlorophyll_plate_28.tif,114.646,4167.636,1584,19680
133,E2_01_1_2_Chlorophyll_plate_28.tif,270.981,5366.462,1584,35872
134,E2_01_1_2_Chlorophyll_plate_28.tif,75.562,2621.793,1584,5184
135,E2_01_1_2_Chlorophyll_plate_28.tif,182.391,4248.686,1600,26496
136,E2_01_1_2_Chlorophyll_plate_28.tif,158.941,3683.672,1584,21136
137,E2_01_1_2_Chlorophyll_plate_28.tif,164.152,4853.587,1584,28464
138,E2_01_1_2_Chlorophyll_plate_28.tif,156.335,5487.200,1584,25760
139,E2_01_1_2_Chlorophyll_plate_28.tif,263.164,5173.228,1600,28464
140,E2_01_1_2_Chlorophyll_plate_28.tif,166.757,3933.250,1584,19024
141,E2_01_1_2_Chlorophyll_plate_28.tif,166.757,5435.250,1600,26208
142,E2_01_1_2_Chlorophyll_plate_28.tif,333.515,5400.000,1600,31024
143,E2_01_1_2_Chlorophyll_plate_28.tif,226.686,5612.690,1584,41120
144,E2_01_1_2_Chlorophyll_plate_28.tif,307.459,5022.915,1584,23856
145,E2_01_1_2_Chlorophyll_plate_28.tif,278.797,4858.916,1584,29664
146,E2_01_1_2_Chlorophyll_plate_28.tif,125.068,4356.333,1600,19664
147,E2_01_1_2_Chlorophyll_plate_28.tif,208.447,3731.400,1600,14976
148,E2_01_1_2_Chlorophyll_plate_28.tif,99.012,4485.474,1600,20688
149,E2_01_1_2_Chlorophyll_plate_28.tif,151.124,4442.759,1584,21984
150,E2_01_1_2_Chlorophyll_plate_28.tif,276.192,5093.736,1584,28640
151,E2_01_1_2_Chlorophyll_plate_28.tif,221.474,4729.600,1584,34304
152,E2_01_1_2_Chlorophyll_plate_28.tif,101.618,2631.795,1616,4704
153,E2_01_1_2_Chlorophyll_plate_28.tif,229.291,4230.727,1584,24672
154,E2_01_1_2_Chlorophyll_plate_28.tif,130.279,4170.560,1584,19552
155,E2_01_1_2_Chlorophyll_plate_28.tif,26.056,1728.000,1584,1984
156,E2_01_1_2_Chlorophyll_plate_28.tif,218.869,5971.619,1600,46464
