 ,Label,Area,Mean,Min,Max
1,E4_01_1_1_Chlorophyll_plate_28.tif,28.661,762.182,704,832
2,E4_01_1_1_Chlorophyll_plate_28.tif,174.574,4165.731,688,21568
3,E4_01_1_1_Chlorophyll_plate_28.tif,52.112,774.400,688,992
4,E4_01_1_1_Chlorophyll_plate_28.tif,28.661,786.909,704,960
5,E4_01_1_1_Chlorophyll_plate_28.tif,221.474,2849.694,688,22000
6,E4_01_1_1_Chlorophyll_plate_28.tif,33.873,787.692,704,976
7,E4_01_1_1_Chlorophyll_plate_28.tif,88.590,1425.882,688,3408
8,E4_01_1_1_Chlorophyll_plate_28.tif,250.136,3941.833,688,32608
9,E4_01_1_1_Chlorophyll_plate_28.tif,260.558,4277.760,688,48992
10,E4_01_1_1_Chlorophyll_plate_28.tif,26.056,758.400,688,848
11,E4_01_1_1_Chlorophyll_plate_28.tif,33.873,787.692,688,864
12,E4_01_1_1_Chlorophyll_plate_28.tif,179.785,4065.391,688,23696
13,E4_01_1_1_Chlorophyll_plate_28.tif,237.108,4347.077,688,26448
14,E4_01_1_1_Chlorophyll_plate_28.tif,198.024,4308.632,688,25072
15,E4_01_1_1_Chlorophyll_plate_28.tif,28.661,749.091,688,912
16,E4_01_1_1_Chlorophyll_plate_28.tif,26.056,784.000,704,864
17,E4_01_1_1_Chlorophyll_plate_28.tif,117.251,3282.133,704,14176
18,E4_01_1_1_Chlorophyll_plate_28.tif,216.263,4126.843,688,24896
19,E4_01_1_1_Chlorophyll_plate_28.tif,255.347,4005.388,688,30592
20,E4_01_1_1_Chlorophyll_plate_28.tif,31.267,820.000,688,976
21,E4_01_1_1_Chlorophyll_plate_28.tif,26.056,769.600,688,944
22,E4_01_1_1_Chlorophyll_plate_28.tif,192.813,4501.838,688,28784
23,E4_01_1_1_Chlorophyll_plate_28.tif,28.661,757.818,688,896
24,E4_01_1_1_Chlorophyll_plate_28.tif,257.953,3406.707,704,27984
25,E4_01_1_1_Chlorophyll_plate_28.tif,184.996,3467.042,688,26432
26,E4_01_1_1_Chlorophyll_plate_28.tif,174.574,4541.612,688,27376
27,E4_01_1_1_Chlorophyll_plate_28.tif,286.614,5133.382,688,34896
28,E4_01_1_1_Chlorophyll_plate_28.tif,224.080,3932.837,688,23600
29,E4_01_1_1_Chlorophyll_plate_28.tif,286.614,4546.473,688,36208
30,E4_01_1_1_Chlorophyll_plate_28.tif,315.275,5245.091,688,33408
