 ,Label,Area,Mean,Min,Max
1,F4_01_1_2_Chlorophyll_plate_28.tif,39.084,19127.467,10768,29824
2,F4_01_1_2_Chlorophyll_plate_28.tif,28.661,17767.273,10608,28640
3,F4_01_1_2_Chlorophyll_plate_28.tif,49.506,19760.000,10448,40352
4,F4_01_1_2_Chlorophyll_plate_28.tif,31.267,21257.333,10752,34496
5,F4_01_1_2_Chlorophyll_plate_28.tif,28.661,18853.818,10816,28704
6,F4_01_1_2_Chlorophyll_plate_28.tif,26.056,16745.600,10816,22816
7,F4_01_1_2_Chlorophyll_plate_28.tif,31.267,16354.667,10912,23280
8,F4_01_1_2_Chlorophyll_plate_28.tif,26.056,19948.800,12960,28640
9,F4_01_1_2_Chlorophyll_plate_28.tif,31.267,19420.000,11376,29296
10,F4_01_1_2_Chlorophyll_plate_28.tif,41.689,20753.000,10544,36368
11,F4_01_1_2_Chlorophyll_plate_28.tif,44.295,24155.294,11664,40064
12,F4_01_1_2_Chlorophyll_plate_28.tif,28.661,18948.364,13008,29840
13,F4_01_1_2_Chlorophyll_plate_28.tif,26.056,15174.400,10896,20592
14,F4_01_1_2_Chlorophyll_plate_28.tif,28.661,17746.909,10576,29312
15,F4_01_1_2_Chlorophyll_plate_28.tif,33.873,17438.769,10704,26400
16,F4_01_1_2_Chlorophyll_plate_28.tif,44.295,23566.118,12144,39904
17,F4_01_1_2_Chlorophyll_plate_28.tif,33.873,17563.077,11280,25920
18,F4_01_1_2_Chlorophyll_plate_28.tif,36.478,19518.857,10528,30336
19,F4_01_1_2_Chlorophyll_plate_28.tif,39.084,22706.133,12256,37632
20,F4_01_1_2_Chlorophyll_plate_28.tif,46.900,21784.000,10816,43840
21,F4_01_1_2_Chlorophyll_plate_28.tif,41.689,16957.000,10656,28000
22,F4_01_1_2_Chlorophyll_plate_28.tif,26.056,16516.800,11248,23296
23,F4_01_1_2_Chlorophyll_plate_28.tif,26.056,19755.200,12240,29680
24,F4_01_1_2_Chlorophyll_plate_28.tif,41.689,20215.000,10592,30912
25,F4_01_1_2_Chlorophyll_plate_28.tif,65.140,19618.560,11536,34880
26,F4_01_1_2_Chlorophyll_plate_28.tif,31.267,15677.333,10816,21120
27,F4_01_1_2_Chlorophyll_plate_28.tif,39.084,23460.267,10800,39520
28,F4_01_1_2_Chlorophyll_plate_28.tif,28.661,19160.727,13696,26560
29,F4_01_1_2_Chlorophyll_plate_28.tif,31.267,22192.000,11312,34160
30,F4_01_1_2_Chlorophyll_plate_28.tif,31.267,19389.333,10896,29632
31,F4_01_1_2_Chlorophyll_plate_28.tif,44.295,17926.588,10864,27904
32,F4_01_1_2_Chlorophyll_plate_28.tif,31.267,14557.333,10400,19648
33,F4_01_1_2_Chlorophyll_plate_28.tif,33.873,20775.385,11584,33344
34,F4_01_1_2_Chlorophyll_plate_28.tif,26.056,15788.800,10992,19840
35,F4_01_1_2_Chlorophyll_plate_28.tif,31.267,18210.667,10400,25040
36,F4_01_1_2_Chlorophyll_plate_28.tif,26.056,19014.400,11200,26784
37,F4_01_1_2_Chlorophyll_plate_28.tif,41.689,24308.000,10576,49232
38,F4_01_1_2_Chlorophyll_plate_28.tif,46.900,21576.889,10800,35536
39,F4_01_1_2_Chlorophyll_plate_28.tif,33.873,18151.385,10512,29376
40,F4_01_1_2_Chlorophyll_plate_28.tif,28.661,19032.727,12256,28848
41,F4_01_1_2_Chlorophyll_plate_28.tif,39.084,19941.333,12160,31280
42,F4_01_1_2_Chlorophyll_plate_28.tif,39.084,24058.667,10640,42352
43,F4_01_1_2_Chlorophyll_plate_28.tif,36.478,18352.000,10688,34080
44,F4_01_1_2_Chlorophyll_plate_28.tif,36.478,17017.143,10432,28160
45,F4_01_1_2_Chlorophyll_plate_28.tif,28.661,15358.545,11056,20304
46,F4_01_1_2_Chlorophyll_plate_28.tif,65.140,19603.200,11568,33744
47,F4_01_1_2_Chlorophyll_plate_28.tif,26.056,16393.600,11088,24768
48,F4_01_1_2_Chlorophyll_plate_28.tif,33.873,18525.538,10672,29376
49,F4_01_1_2_Chlorophyll_plate_28.tif,36.478,20341.714,10688,33168
50,F4_01_1_2_Chlorophyll_plate_28.tif,31.267,19669.333,11520,29648
51,F4_01_1_2_Chlorophyll_plate_28.tif,54.717,23801.905,10784,42512
52,F4_01_1_2_Chlorophyll_plate_28.tif,31.267,18012.000,10464,26688
53,F4_01_1_2_Chlorophyll_plate_28.tif,44.295,20833.882,11776,32720
54,F4_01_1_2_Chlorophyll_plate_28.tif,31.267,20982.667,10784,34048
55,F4_01_1_2_Chlorophyll_plate_28.tif,49.506,20788.211,11632,32864
56,F4_01_1_2_Chlorophyll_plate_28.tif,31.267,17789.333,10656,29632
57,F4_01_1_2_Chlorophyll_plate_28.tif,36.478,22085.714,11696,38688
58,F4_01_1_2_Chlorophyll_plate_28.tif,26.056,16816.000,10656,25664
59,F4_01_1_2_Chlorophyll_plate_28.tif,33.873,21900.308,11616,33120
60,F4_01_1_2_Chlorophyll_plate_28.tif,28.661,17666.909,10800,26304
61,F4_01_1_2_Chlorophyll_plate_28.tif,33.873,17718.154,10672,26544
62,F4_01_1_2_Chlorophyll_plate_28.tif,44.295,19448.471,10624,30960
63,F4_01_1_2_Chlorophyll_plate_28.tif,49.506,26971.789,13120,41936
64,F4_01_1_2_Chlorophyll_plate_28.tif,52.112,21516.000,10384,34032
65,F4_01_1_2_Chlorophyll_plate_28.tif,39.084,19270.400,10384,29680
66,F4_01_1_2_Chlorophyll_plate_28.tif,31.267,19997.333,10640,32064
67,F4_01_1_2_Chlorophyll_plate_28.tif,33.873,19020.308,11984,25392
68,F4_01_1_2_Chlorophyll_plate_28.tif,26.056,17670.400,10432,28000
69,F4_01_1_2_Chlorophyll_plate_28.tif,33.873,18370.462,10528,27376
70,F4_01_1_2_Chlorophyll_plate_28.tif,41.689,21922.000,12672,32784
71,F4_01_1_2_Chlorophyll_plate_28.tif,31.267,15645.333,10816,22656
72,F4_01_1_2_Chlorophyll_plate_28.tif,44.295,22107.294,10480,42496
73,F4_01_1_2_Chlorophyll_plate_28.tif,49.506,22757.895,10576,36608
74,F4_01_1_2_Chlorophyll_plate_28.tif,57.323,23200.727,10912,46112
75,F4_01_1_2_Chlorophyll_plate_28.tif,46.900,25173.333,11536,48512
76,F4_01_1_2_Chlorophyll_plate_28.tif,44.295,22418.824,10800,36080
77,F4_01_1_2_Chlorophyll_plate_28.tif,26.056,17374.400,11232,22048
78,F4_01_1_2_Chlorophyll_plate_28.tif,26.056,15588.800,10896,22896
79,F4_01_1_2_Chlorophyll_plate_28.tif,41.689,19854.000,11792,34000
