 ,Label,Area,Mean,Min,Max
1,F9_01_1_1_Chlorophyll_plate_28.tif,75.562,4097.655,768,15328
2,F9_01_1_1_Chlorophyll_plate_28.tif,187.602,4472.000,768,24832
3,F9_01_1_1_Chlorophyll_plate_28.tif,99.012,2330.526,752,6736
4,F9_01_1_1_Chlorophyll_plate_28.tif,112.040,3917.395,752,15760
5,F9_01_1_1_Chlorophyll_plate_28.tif,164.152,5229.968,768,28768
6,F9_01_1_1_Chlorophyll_plate_28.tif,28.661,1941.818,912,3552
7,F9_01_1_1_Chlorophyll_plate_28.tif,226.686,5784.460,752,48736
8,F9_01_1_1_Chlorophyll_plate_28.tif,239.714,4076.174,752,30656
9,F9_01_1_1_Chlorophyll_plate_28.tif,59.928,2411.826,784,5824
10,F9_01_1_1_Chlorophyll_plate_28.tif,171.968,4916.121,752,24240
11,F9_01_1_1_Chlorophyll_plate_28.tif,130.279,3934.400,768,22048
12,F9_01_1_1_Chlorophyll_plate_28.tif,213.658,4716.488,752,31920
13,F9_01_1_1_Chlorophyll_plate_28.tif,315.275,5164.033,752,29136
14,F9_01_1_1_Chlorophyll_plate_28.tif,161.546,4336.000,752,26720
15,F9_01_1_1_Chlorophyll_plate_28.tif,49.506,1866.105,768,4032
16,F9_01_1_1_Chlorophyll_plate_28.tif,169.363,4767.508,752,27392
17,F9_01_1_1_Chlorophyll_plate_28.tif,218.869,4938.476,752,34416
18,F9_01_1_1_Chlorophyll_plate_28.tif,171.968,3261.333,752,21648
19,F9_01_1_1_Chlorophyll_plate_28.tif,151.124,4190.345,752,20016
20,F9_01_1_1_Chlorophyll_plate_28.tif,192.813,3237.838,768,18704
21,F9_01_1_1_Chlorophyll_plate_28.tif,109.434,4329.143,752,19168
22,F9_01_1_1_Chlorophyll_plate_28.tif,224.080,3440.000,752,24112
23,F9_01_1_1_Chlorophyll_plate_28.tif,91.195,3651.200,784,15184
24,F9_01_1_1_Chlorophyll_plate_28.tif,276.192,4979.321,752,46896
25,F9_01_1_1_Chlorophyll_plate_28.tif,109.434,3740.952,752,17072
26,F9_01_1_1_Chlorophyll_plate_28.tif,198.024,2813.263,752,19392
27,F9_01_1_1_Chlorophyll_plate_28.tif,200.630,3388.675,752,22512
28,F9_01_1_1_Chlorophyll_plate_28.tif,153.729,2701.288,752,17328
29,F9_01_1_1_Chlorophyll_plate_28.tif,75.562,3733.517,768,16032
30,F9_01_1_1_Chlorophyll_plate_28.tif,36.478,1457.143,768,2496
31,F9_01_1_1_Chlorophyll_plate_28.tif,208.447,4676.400,752,24544
32,F9_01_1_1_Chlorophyll_plate_28.tif,169.363,5021.785,768,28384
33,F9_01_1_1_Chlorophyll_plate_28.tif,234.502,2795.200,752,16768
