 ,Label,Area,Mean,Min,Max
1,G3_01_1_1_Chlorophyll_plate_19.tif,36.478,23478.857,15424,32224
2,G3_01_1_1_Chlorophyll_plate_19.tif,44.295,34796.235,14352,65520
3,G3_01_1_1_Chlorophyll_plate_19.tif,44.295,26210.824,13808,40928
4,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,26757.333,14096,47088
5,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,26227.200,14144,45856
6,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,29692.800,17040,44928
7,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,31400.615,17968,52672
8,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,31762.667,13696,52848
9,G3_01_1_1_Chlorophyll_plate_19.tif,39.084,28979.200,14816,47584
10,G3_01_1_1_Chlorophyll_plate_19.tif,36.478,31140.571,18112,46800
11,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,23137.455,14528,33856
12,G3_01_1_1_Chlorophyll_plate_19.tif,39.084,21442.133,14000,32736
13,G3_01_1_1_Chlorophyll_plate_19.tif,67.745,28284.308,15632,46000
14,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,25586.909,14704,43360
15,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,27884.308,18336,43360
16,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,23918.400,14304,40288
17,G3_01_1_1_Chlorophyll_plate_19.tif,39.084,29188.267,14192,44880
18,G3_01_1_1_Chlorophyll_plate_19.tif,39.084,25058.133,13968,38480
19,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,20941.333,14688,28288
20,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,25556.923,16800,38208
21,G3_01_1_1_Chlorophyll_plate_19.tif,41.689,25549.000,13696,38896
22,G3_01_1_1_Chlorophyll_plate_19.tif,46.900,29386.667,13648,46784
23,G3_01_1_1_Chlorophyll_plate_19.tif,46.900,27229.333,14320,43088
24,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,26369.231,15504,38816
25,G3_01_1_1_Chlorophyll_plate_19.tif,41.689,29448.000,14448,48848
26,G3_01_1_1_Chlorophyll_plate_19.tif,39.084,29265.067,14000,41440
27,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,19764.800,14720,28368
28,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,28627.200,16592,46512
29,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,23159.273,13728,37104
30,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,35827.200,14048,65520
31,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,26103.385,14096,39648
32,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,27357.091,14384,46976
33,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,28784.000,16288,42272
34,G3_01_1_1_Chlorophyll_plate_19.tif,78.167,29234.667,14352,58640
35,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,29488.000,14992,47824
36,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,34414.769,14704,62096
37,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,21086.400,14288,30096
38,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,21027.200,14352,28528
39,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,24931.692,13792,37696
40,G3_01_1_1_Chlorophyll_plate_19.tif,57.323,20773.818,15104,26304
41,G3_01_1_1_Chlorophyll_plate_19.tif,46.900,31980.444,14256,52800
42,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,27814.154,14800,45760
43,G3_01_1_1_Chlorophyll_plate_19.tif,36.478,35160.000,17968,55504
44,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,24730.667,14608,35376
45,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,29762.909,13840,44224
46,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,22579.200,14144,33200
47,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,27672.000,13968,45232
48,G3_01_1_1_Chlorophyll_plate_19.tif,39.084,25696.000,14064,39808
49,G3_01_1_1_Chlorophyll_plate_19.tif,41.689,22689.000,13744,31136
50,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,32510.769,15056,57120
51,G3_01_1_1_Chlorophyll_plate_19.tif,44.295,35245.176,16128,59440
52,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,20107.200,13936,26624
53,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,27143.273,15232,43088
54,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,22485.333,13696,31760
55,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,31559.385,15504,54208
56,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,22593.455,14032,32432
57,G3_01_1_1_Chlorophyll_plate_19.tif,36.478,31657.143,16912,52992
58,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,26085.818,14128,42480
59,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,29302.154,13920,45280
60,G3_01_1_1_Chlorophyll_plate_19.tif,57.323,33621.818,14336,60336
61,G3_01_1_1_Chlorophyll_plate_19.tif,44.295,27168.941,13648,45024
62,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,27831.273,14016,43120
63,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,25821.538,14128,41184
64,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,23115.200,13856,34528
65,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,29729.600,15824,50848
66,G3_01_1_1_Chlorophyll_plate_19.tif,41.689,31263.000,16960,47264
67,G3_01_1_1_Chlorophyll_plate_19.tif,36.478,23993.143,13648,36352
68,G3_01_1_1_Chlorophyll_plate_19.tif,39.084,28866.133,14512,43664
69,G3_01_1_1_Chlorophyll_plate_19.tif,49.506,26063.158,13952,40480
70,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,27377.600,14208,47392
71,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,26942.769,13840,45920
72,G3_01_1_1_Chlorophyll_plate_19.tif,44.295,33249.882,15088,57408
73,G3_01_1_1_Chlorophyll_plate_19.tif,46.900,30898.667,13744,46528
74,G3_01_1_1_Chlorophyll_plate_19.tif,36.478,31877.714,17168,50784
75,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,26251.636,13968,41264
76,G3_01_1_1_Chlorophyll_plate_19.tif,54.717,25120.000,13856,38368
77,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,23369.600,14576,34192
78,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,25668.800,14000,40976
79,G3_01_1_1_Chlorophyll_plate_19.tif,36.478,27413.714,14016,49664
80,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,30251.200,13776,47888
81,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,29044.800,15568,50608
82,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,24298.667,14032,34912
83,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,26153.333,16400,38208
84,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,25005.538,14048,40320
85,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,22685.538,14368,31888
86,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,26958.545,14432,40544
87,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,24836.364,16464,37504
88,G3_01_1_1_Chlorophyll_plate_19.tif,39.084,28230.400,14048,48384
89,G3_01_1_1_Chlorophyll_plate_19.tif,36.478,25052.571,15232,38624
90,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,24992.000,14176,36912
91,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,30369.333,14688,46800
92,G3_01_1_1_Chlorophyll_plate_19.tif,36.478,27104.000,15216,43152
93,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,26644.800,16240,39872
94,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,26078.545,14144,44640
95,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,32086.400,17424,56992
96,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,23580.800,13776,43696
97,G3_01_1_1_Chlorophyll_plate_19.tif,39.084,22679.467,14432,42432
98,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,25140.923,13952,41712
99,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,23416.727,15504,33088
100,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,24187.200,14400,39056
101,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,28901.333,15056,41184
102,G3_01_1_1_Chlorophyll_plate_19.tif,44.295,26648.471,14880,43136
103,G3_01_1_1_Chlorophyll_plate_19.tif,52.112,28254.100,14064,45744
104,G3_01_1_1_Chlorophyll_plate_19.tif,44.295,24778.353,17168,38080
105,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,25296.000,18480,38192
106,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,19691.200,13808,24864
107,G3_01_1_1_Chlorophyll_plate_19.tif,57.323,25468.364,13664,42432
108,G3_01_1_1_Chlorophyll_plate_19.tif,65.140,27193.600,14096,44848
109,G3_01_1_1_Chlorophyll_plate_19.tif,46.900,34133.333,14736,59248
110,G3_01_1_1_Chlorophyll_plate_19.tif,62.534,25898.000,13856,39776
111,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,34308.923,17632,62928
112,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,22859.636,14400,34448
113,G3_01_1_1_Chlorophyll_plate_19.tif,52.112,32969.600,14816,52864
114,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,28897.455,17248,44448
115,G3_01_1_1_Chlorophyll_plate_19.tif,46.900,28737.778,13856,48592
116,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,33803.200,18336,60992
117,G3_01_1_1_Chlorophyll_plate_19.tif,41.689,30093.000,15920,47120
118,G3_01_1_1_Chlorophyll_plate_19.tif,67.745,23568.000,13696,38544
119,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,25124.000,13936,43872
120,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,24852.364,14688,41456
121,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,21801.333,14480,35072
122,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,23916.800,14752,34976
123,G3_01_1_1_Chlorophyll_plate_19.tif,33.873,20260.923,13760,26800
124,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,31207.273,15920,50816
125,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,22552.727,14256,35120
126,G3_01_1_1_Chlorophyll_plate_19.tif,41.689,30913.000,13920,52000
127,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,25715.200,15136,40864
128,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,27406.667,14432,43296
129,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,28534.400,15664,44720
130,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,22414.545,15136,37856
131,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,23344.000,14368,35376
132,G3_01_1_1_Chlorophyll_plate_19.tif,46.900,31237.333,14000,47424
133,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,24763.200,15840,38224
134,G3_01_1_1_Chlorophyll_plate_19.tif,36.478,26874.286,15408,42512
135,G3_01_1_1_Chlorophyll_plate_19.tif,28.661,27319.273,13664,40080
136,G3_01_1_1_Chlorophyll_plate_19.tif,52.112,29993.600,13952,46448
137,G3_01_1_1_Chlorophyll_plate_19.tif,26.056,25451.200,15264,42304
138,G3_01_1_1_Chlorophyll_plate_19.tif,46.900,22677.333,13744,40800
139,G3_01_1_1_Chlorophyll_plate_19.tif,31.267,26241.333,14688,45504
140,G3_01_1_1_Chlorophyll_plate_19.tif,46.900,22287.111,13744,37680
141,G3_01_1_1_Chlorophyll_plate_19.tif,36.478,30846.857,15824,49824
142,G3_01_1_1_Chlorophyll_plate_19.tif,41.689,22310.000,14496,35024
