 ,Label,Area,Mean,Min,Max
1,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,20796.800,14656,26976
2,B2_01_1_1_Chlorophyll_plate_19.tif,52.112,28652.800,16736,42832
3,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,27187.200,15744,45712
4,B2_01_1_1_Chlorophyll_plate_19.tif,70.351,28475.259,15296,49648
5,B2_01_1_1_Chlorophyll_plate_19.tif,49.506,23710.316,15248,40176
6,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,25744.000,15968,36576
7,B2_01_1_1_Chlorophyll_plate_19.tif,33.873,25558.154,16288,39728
8,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,24064.000,14560,33728
9,B2_01_1_1_Chlorophyll_plate_19.tif,36.478,29746.286,17856,44096
10,B2_01_1_1_Chlorophyll_plate_19.tif,41.689,28348.000,15168,45472
11,B2_01_1_1_Chlorophyll_plate_19.tif,41.689,31728.000,17472,47840
12,B2_01_1_1_Chlorophyll_plate_19.tif,31.267,25374.667,14752,40432
13,B2_01_1_1_Chlorophyll_plate_19.tif,41.689,34598.000,15856,53584
14,B2_01_1_1_Chlorophyll_plate_19.tif,31.267,25338.667,16096,38416
15,B2_01_1_1_Chlorophyll_plate_19.tif,31.267,27196.000,17728,42096
16,B2_01_1_1_Chlorophyll_plate_19.tif,28.661,25630.545,14976,40576
17,B2_01_1_1_Chlorophyll_plate_19.tif,39.084,21588.267,14560,29584
18,B2_01_1_1_Chlorophyll_plate_19.tif,39.084,25974.400,15136,41568
19,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,24342.400,14592,39440
20,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,32939.200,19024,50944
21,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,26868.800,16208,43568
22,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,27161.600,15920,39664
23,B2_01_1_1_Chlorophyll_plate_19.tif,28.661,22859.636,15456,32160
24,B2_01_1_1_Chlorophyll_plate_19.tif,46.900,30810.667,16816,53520
25,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,24433.600,14928,37248
26,B2_01_1_1_Chlorophyll_plate_19.tif,31.267,25257.333,15200,40400
27,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,22896.000,15216,32528
28,B2_01_1_1_Chlorophyll_plate_19.tif,49.506,31707.789,14736,48800
29,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,24652.800,15376,37920
30,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,30982.400,15472,51504
31,B2_01_1_1_Chlorophyll_plate_19.tif,33.873,28460.308,16608,44528
32,B2_01_1_1_Chlorophyll_plate_19.tif,44.295,31896.471,16064,49616
33,B2_01_1_1_Chlorophyll_plate_19.tif,33.873,28601.846,15648,43824
34,B2_01_1_1_Chlorophyll_plate_19.tif,44.295,29951.059,15728,48112
35,B2_01_1_1_Chlorophyll_plate_19.tif,54.717,31138.286,15536,52752
36,B2_01_1_1_Chlorophyll_plate_19.tif,46.900,30190.222,14784,52704
37,B2_01_1_1_Chlorophyll_plate_19.tif,28.661,28318.545,17040,42896
38,B2_01_1_1_Chlorophyll_plate_19.tif,33.873,29633.231,19024,46528
39,B2_01_1_1_Chlorophyll_plate_19.tif,36.478,30443.429,17408,43168
40,B2_01_1_1_Chlorophyll_plate_19.tif,36.478,30140.571,16432,52672
41,B2_01_1_1_Chlorophyll_plate_19.tif,33.873,34417.231,20464,56144
42,B2_01_1_1_Chlorophyll_plate_19.tif,28.661,24672.000,17120,34448
43,B2_01_1_1_Chlorophyll_plate_19.tif,39.084,31677.867,16144,49136
44,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,27846.400,15376,47440
45,B2_01_1_1_Chlorophyll_plate_19.tif,36.478,31736.000,14800,53552
46,B2_01_1_1_Chlorophyll_plate_19.tif,33.873,23723.077,14928,35088
47,B2_01_1_1_Chlorophyll_plate_19.tif,31.267,25440.000,15488,42336
48,B2_01_1_1_Chlorophyll_plate_19.tif,31.267,27158.667,15472,39136
49,B2_01_1_1_Chlorophyll_plate_19.tif,36.478,25653.714,16896,36224
50,B2_01_1_1_Chlorophyll_plate_19.tif,31.267,36045.333,17024,64592
51,B2_01_1_1_Chlorophyll_plate_19.tif,46.900,33509.333,15024,59712
52,B2_01_1_1_Chlorophyll_plate_19.tif,62.534,30386.000,15232,50976
53,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,35046.400,17072,57520
54,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,24654.400,15040,39232
55,B2_01_1_1_Chlorophyll_plate_19.tif,33.873,31693.538,14720,64272
56,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,22385.600,14656,37232
57,B2_01_1_1_Chlorophyll_plate_19.tif,28.661,27370.182,14608,48704
58,B2_01_1_1_Chlorophyll_plate_19.tif,33.873,30909.538,15328,51376
59,B2_01_1_1_Chlorophyll_plate_19.tif,36.478,34438.857,15536,62704
60,B2_01_1_1_Chlorophyll_plate_19.tif,41.689,35514.000,19056,58832
61,B2_01_1_1_Chlorophyll_plate_19.tif,28.661,23930.182,17344,33424
62,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,33414.400,15600,60512
63,B2_01_1_1_Chlorophyll_plate_19.tif,36.478,28997.714,16352,41712
64,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,33470.400,18144,54448
65,B2_01_1_1_Chlorophyll_plate_19.tif,49.506,25966.316,14928,39984
66,B2_01_1_1_Chlorophyll_plate_19.tif,28.661,22877.091,15392,31504
67,B2_01_1_1_Chlorophyll_plate_19.tif,33.873,25481.846,14960,38480
68,B2_01_1_1_Chlorophyll_plate_19.tif,46.900,27293.333,14560,38976
69,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,26148.800,16112,37744
70,B2_01_1_1_Chlorophyll_plate_19.tif,72.956,30060.571,15040,49600
71,B2_01_1_1_Chlorophyll_plate_19.tif,41.689,29040.000,15696,44640
72,B2_01_1_1_Chlorophyll_plate_19.tif,36.478,29564.571,18896,40688
73,B2_01_1_1_Chlorophyll_plate_19.tif,54.717,31199.238,16336,45232
74,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,24094.400,15920,36912
75,B2_01_1_1_Chlorophyll_plate_19.tif,49.506,31004.632,15424,48752
76,B2_01_1_1_Chlorophyll_plate_19.tif,36.478,28346.286,15184,44208
77,B2_01_1_1_Chlorophyll_plate_19.tif,36.478,31502.857,16144,51488
78,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,25308.800,17120,37648
79,B2_01_1_1_Chlorophyll_plate_19.tif,26.056,23393.600,15872,34112
80,B2_01_1_1_Chlorophyll_plate_19.tif,41.689,36382.000,15168,56576
81,B2_01_1_1_Chlorophyll_plate_19.tif,33.873,27344.000,15984,42864
82,B2_01_1_1_Chlorophyll_plate_19.tif,31.267,30184.000,19856,47936
83,B2_01_1_1_Chlorophyll_plate_19.tif,39.084,29865.600,16544,43376
84,B2_01_1_1_Chlorophyll_plate_19.tif,52.112,24863.200,15008,41936
