 ,Label,Area,Mean,Min,Max
1,D6_01_1_2_Chlorophyll_plate_19.tif,208.447,7511.800,2160,37200
2,D6_01_1_2_Chlorophyll_plate_19.tif,109.434,6156.571,2160,24384
3,D6_01_1_2_Chlorophyll_plate_19.tif,229.291,5857.636,2160,33280
4,D6_01_1_2_Chlorophyll_plate_19.tif,346.542,10610.526,2160,65520
5,D6_01_1_2_Chlorophyll_plate_19.tif,440.343,7289.751,2160,54112
6,D6_01_1_2_Chlorophyll_plate_19.tif,41.689,4660.000,2192,11536
7,D6_01_1_2_Chlorophyll_plate_19.tif,190.208,7473.096,2176,28992
8,D6_01_1_2_Chlorophyll_plate_19.tif,151.124,6762.759,2160,31696
9,D6_01_1_2_Chlorophyll_plate_19.tif,192.813,7795.459,2160,45328
10,D6_01_1_2_Chlorophyll_plate_19.tif,304.853,6362.667,2160,37888
11,D6_01_1_2_Chlorophyll_plate_19.tif,184.996,6666.817,2160,36464
12,D6_01_1_2_Chlorophyll_plate_19.tif,221.474,10060.612,2176,48864
13,D6_01_1_2_Chlorophyll_plate_19.tif,148.518,6388.772,2208,29648
14,D6_01_1_2_Chlorophyll_plate_19.tif,158.941,7347.672,2160,39040
15,D6_01_1_2_Chlorophyll_plate_19.tif,148.518,5528.702,2176,26064
16,D6_01_1_2_Chlorophyll_plate_19.tif,135.490,6926.154,2160,38016
17,D6_01_1_2_Chlorophyll_plate_19.tif,218.869,9567.619,2208,47600
18,D6_01_1_2_Chlorophyll_plate_19.tif,195.419,7738.667,2160,65520
19,D6_01_1_2_Chlorophyll_plate_19.tif,229.291,9518.909,2160,49744
20,D6_01_1_2_Chlorophyll_plate_19.tif,442.949,10570.635,2160,54800
21,D6_01_1_2_Chlorophyll_plate_19.tif,166.757,6888.250,2160,42992
22,D6_01_1_2_Chlorophyll_plate_19.tif,161.546,5876.903,2176,33296
23,D6_01_1_2_Chlorophyll_plate_19.tif,135.490,5540.615,2160,21632
24,D6_01_1_2_Chlorophyll_plate_19.tif,442.949,8671.341,2160,53200
25,D6_01_1_2_Chlorophyll_plate_19.tif,242.319,6435.269,2160,58992
26,D6_01_1_2_Chlorophyll_plate_19.tif,33.873,2697.846,2208,3712
27,D6_01_1_2_Chlorophyll_plate_19.tif,211.052,8421.531,2160,56864
28,D6_01_1_2_Chlorophyll_plate_19.tif,260.558,9983.040,2160,65520
29,D6_01_1_2_Chlorophyll_plate_19.tif,114.646,6315.273,2176,25376
30,D6_01_1_2_Chlorophyll_plate_19.tif,148.518,6708.211,2160,27600
31,D6_01_1_2_Chlorophyll_plate_19.tif,28.661,2341.818,2240,2512
32,D6_01_1_2_Chlorophyll_plate_19.tif,158.941,7247.475,2160,37712
33,D6_01_1_2_Chlorophyll_plate_19.tif,122.462,6244.766,2160,26736
34,D6_01_1_2_Chlorophyll_plate_19.tif,213.658,7827.707,2192,47680
35,D6_01_1_2_Chlorophyll_plate_19.tif,174.574,6940.179,2160,47824
36,D6_01_1_2_Chlorophyll_plate_19.tif,260.558,9159.360,2160,54240
37,D6_01_1_2_Chlorophyll_plate_19.tif,151.124,6318.897,2192,32704
38,D6_01_1_2_Chlorophyll_plate_19.tif,708.718,10693.176,2160,65520
39,D6_01_1_2_Chlorophyll_plate_19.tif,255.347,8575.347,2176,54000
40,D6_01_1_2_Chlorophyll_plate_19.tif,179.785,7185.159,2160,41648
41,D6_01_1_2_Chlorophyll_plate_19.tif,138.096,7340.679,2160,42928
42,D6_01_1_2_Chlorophyll_plate_19.tif,229.291,8726.909,2160,46048
43,D6_01_1_2_Chlorophyll_plate_19.tif,96.407,6673.730,2192,27184
44,D6_01_1_2_Chlorophyll_plate_19.tif,257.953,10420.848,2176,65520
45,D6_01_1_2_Chlorophyll_plate_19.tif,237.108,7252.396,2160,35232
46,D6_01_1_2_Chlorophyll_plate_19.tif,364.782,7686.286,2160,50256
47,D6_01_1_2_Chlorophyll_plate_19.tif,125.068,7314.000,2160,27296
48,D6_01_1_2_Chlorophyll_plate_19.tif,237.108,8593.407,2160,45472
49,D6_01_1_2_Chlorophyll_plate_19.tif,109.434,6790.857,2160,27760
50,D6_01_1_2_Chlorophyll_plate_19.tif,229.291,8963.818,2160,42960
51,D6_01_1_2_Chlorophyll_plate_19.tif,130.279,6981.120,2176,33136
52,D6_01_1_2_Chlorophyll_plate_19.tif,221.474,9362.824,2176,45664
53,D6_01_1_2_Chlorophyll_plate_19.tif,224.080,7226.047,2160,37088
54,D6_01_1_2_Chlorophyll_plate_19.tif,174.574,5518.567,2176,28000
55,D6_01_1_2_Chlorophyll_plate_19.tif,177.180,7523.294,2160,33728
56,D6_01_1_2_Chlorophyll_plate_19.tif,130.279,6554.560,2160,35200
57,D6_01_1_2_Chlorophyll_plate_19.tif,354.359,8847.059,2160,46256
58,D6_01_1_2_Chlorophyll_plate_19.tif,195.419,7218.987,2160,44880
59,D6_01_1_2_Chlorophyll_plate_19.tif,179.785,8881.391,2176,59248
60,D6_01_1_2_Chlorophyll_plate_19.tif,59.928,3263.304,2176,4832
61,D6_01_1_2_Chlorophyll_plate_19.tif,153.729,6813.559,2160,35888
62,D6_01_1_2_Chlorophyll_plate_19.tif,380.415,8792.329,2160,49888
63,D6_01_1_2_Chlorophyll_plate_19.tif,268.375,6285.981,2160,58144
64,D6_01_1_2_Chlorophyll_plate_19.tif,268.375,8916.039,2160,45472
65,D6_01_1_2_Chlorophyll_plate_19.tif,140.701,6908.741,2176,44032
66,D6_01_1_2_Chlorophyll_plate_19.tif,252.741,8791.753,2160,45856
67,D6_01_1_2_Chlorophyll_plate_19.tif,198.024,7922.105,2160,65424
68,D6_01_1_2_Chlorophyll_plate_19.tif,52.112,3208.000,2176,4992
69,D6_01_1_2_Chlorophyll_plate_19.tif,276.192,7940.528,2160,54928
70,D6_01_1_2_Chlorophyll_plate_19.tif,171.968,8413.333,2176,45296
71,D6_01_1_2_Chlorophyll_plate_19.tif,211.052,9275.259,2208,52400
72,D6_01_1_2_Chlorophyll_plate_19.tif,263.164,10315.089,2160,65520
73,D6_01_1_2_Chlorophyll_plate_19.tif,179.785,7651.478,2160,45232
74,D6_01_1_2_Chlorophyll_plate_19.tif,164.152,7848.635,2160,41216
75,D6_01_1_2_Chlorophyll_plate_19.tif,190.208,7981.370,2160,44896
76,D6_01_1_2_Chlorophyll_plate_19.tif,104.223,4484.000,2160,13888
77,D6_01_1_2_Chlorophyll_plate_19.tif,132.885,7394.824,2192,39920
78,D6_01_1_2_Chlorophyll_plate_19.tif,244.925,6639.830,2160,46880
79,D6_01_1_2_Chlorophyll_plate_19.tif,328.303,8847.746,2160,51296
80,D6_01_1_2_Chlorophyll_plate_19.tif,164.152,7216.508,2160,32816
81,D6_01_1_2_Chlorophyll_plate_19.tif,265.769,10119.216,2160,62848
82,D6_01_1_2_Chlorophyll_plate_19.tif,226.686,9066.115,2160,43936
