 ,Label,Area,Mean,Min,Max
1,E11_01_1_1_Chlorophyll_plate_28.tif,44.295,26197.647,12848,43376
2,E11_01_1_1_Chlorophyll_plate_28.tif,33.873,26209.231,12080,49088
3,E11_01_1_1_Chlorophyll_plate_28.tif,49.506,22745.263,12368,38256
4,E11_01_1_1_Chlorophyll_plate_28.tif,33.873,21902.769,12560,37104
5,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,20886.667,11568,35296
6,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,19532.000,11616,28944
7,E11_01_1_1_Chlorophyll_plate_28.tif,67.745,24298.462,11744,49424
8,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,16588.800,11744,23776
9,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,28323.200,14048,44896
10,E11_01_1_1_Chlorophyll_plate_28.tif,59.928,26023.652,12464,49696
11,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,23454.667,14544,37104
12,E11_01_1_1_Chlorophyll_plate_28.tif,41.689,22641.000,12928,35328
13,E11_01_1_1_Chlorophyll_plate_28.tif,28.661,18711.273,12400,28704
14,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,24046.667,14112,39440
15,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,23284.000,11824,39648
16,E11_01_1_1_Chlorophyll_plate_28.tif,46.900,21124.444,12384,33072
17,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,25441.600,14144,37072
18,E11_01_1_1_Chlorophyll_plate_28.tif,52.112,26528.800,11568,40672
19,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,22340.800,12560,36256
20,E11_01_1_1_Chlorophyll_plate_28.tif,39.084,23843.200,11744,39168
21,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,18356.000,11712,26480
22,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,25090.286,12720,43456
23,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,20338.667,11728,31520
24,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,31253.714,16704,50880
25,E11_01_1_1_Chlorophyll_plate_28.tif,83.379,26063.000,11920,44016
26,E11_01_1_1_Chlorophyll_plate_28.tif,44.295,23339.294,11440,33568
27,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,16131.200,11456,23728
28,E11_01_1_1_Chlorophyll_plate_28.tif,33.873,22647.385,14064,36320
29,E11_01_1_1_Chlorophyll_plate_28.tif,28.661,20859.636,11904,32016
30,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,17762.286,11376,26368
31,E11_01_1_1_Chlorophyll_plate_28.tif,44.295,24830.118,12368,40256
32,E11_01_1_1_Chlorophyll_plate_28.tif,41.689,28898.000,12880,46944
33,E11_01_1_1_Chlorophyll_plate_28.tif,28.661,30462.545,11696,57008
34,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,19500.000,12784,27680
35,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,20590.400,11952,31712
36,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,18398.400,12096,24960
37,E11_01_1_1_Chlorophyll_plate_28.tif,28.661,23704.727,12880,35824
38,E11_01_1_1_Chlorophyll_plate_28.tif,33.873,20908.308,13184,34224
39,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,20750.400,12000,30032
40,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,21728.000,15808,30384
41,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,20339.429,11808,30816
42,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,18179.200,11392,24688
43,E11_01_1_1_Chlorophyll_plate_28.tif,62.534,27323.333,11472,48224
44,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,19250.667,11536,28080
45,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,22544.000,11776,31808
46,E11_01_1_1_Chlorophyll_plate_28.tif,33.873,22020.923,11392,37344
47,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,21880.000,11696,31488
48,E11_01_1_1_Chlorophyll_plate_28.tif,41.689,17298.000,11824,25040
49,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,20914.667,12896,29680
50,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,23011.429,12048,33232
51,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,23667.429,12224,34016
52,E11_01_1_1_Chlorophyll_plate_28.tif,28.661,21086.545,11376,37536
53,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,20161.600,13376,32544
54,E11_01_1_1_Chlorophyll_plate_28.tif,44.295,27158.588,12224,46208
55,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,19502.400,12368,28624
56,E11_01_1_1_Chlorophyll_plate_28.tif,46.900,25071.111,12496,38080
57,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,26393.143,14432,42720
58,E11_01_1_1_Chlorophyll_plate_28.tif,39.084,24812.800,12048,40608
59,E11_01_1_1_Chlorophyll_plate_28.tif,33.873,19948.308,12448,29600
60,E11_01_1_1_Chlorophyll_plate_28.tif,33.873,19611.077,12240,34528
61,E11_01_1_1_Chlorophyll_plate_28.tif,44.295,24368.941,11520,46704
62,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,29713.143,14960,48608
63,E11_01_1_1_Chlorophyll_plate_28.tif,33.873,22136.615,11856,37152
64,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,19102.667,11456,28064
65,E11_01_1_1_Chlorophyll_plate_28.tif,28.661,20856.727,11840,37648
66,E11_01_1_1_Chlorophyll_plate_28.tif,33.873,21820.308,12432,35984
67,E11_01_1_1_Chlorophyll_plate_28.tif,28.661,19034.182,12208,28368
68,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,19500.800,11952,28608
69,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,18334.667,12512,26480
70,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,19226.286,12256,28336
71,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,22035.429,12208,37904
72,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,22894.857,12368,35648
73,E11_01_1_1_Chlorophyll_plate_28.tif,49.506,27074.526,11840,56624
74,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,17713.600,11696,24128
75,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,27336.000,12352,50256
76,E11_01_1_1_Chlorophyll_plate_28.tif,57.323,24495.273,11760,42640
77,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,26605.714,11392,42272
78,E11_01_1_1_Chlorophyll_plate_28.tif,46.900,24991.111,12400,38752
79,E11_01_1_1_Chlorophyll_plate_28.tif,39.084,24420.267,11760,40400
80,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,21152.000,12288,34720
81,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,25760.000,13616,46416
82,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,26541.714,13920,49152
83,E11_01_1_1_Chlorophyll_plate_28.tif,59.928,26752.000,12032,45328
84,E11_01_1_1_Chlorophyll_plate_28.tif,28.661,18410.182,12416,25680
85,E11_01_1_1_Chlorophyll_plate_28.tif,33.873,23147.077,11408,39040
86,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,26569.143,11600,44720
87,E11_01_1_1_Chlorophyll_plate_28.tif,46.900,28185.778,12656,54416
88,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,18288.000,12080,26304
89,E11_01_1_1_Chlorophyll_plate_28.tif,46.900,20704.889,12112,30864
90,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,26218.667,14192,45392
91,E11_01_1_1_Chlorophyll_plate_28.tif,28.661,19300.364,11904,29360
92,E11_01_1_1_Chlorophyll_plate_28.tif,52.112,26097.600,11696,43056
93,E11_01_1_1_Chlorophyll_plate_28.tif,31.267,21484.000,11904,34848
94,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,27822.857,13984,48112
95,E11_01_1_1_Chlorophyll_plate_28.tif,41.689,18529.000,11552,26592
96,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,19796.800,12256,29920
97,E11_01_1_1_Chlorophyll_plate_28.tif,41.689,24205.000,14720,38608
98,E11_01_1_1_Chlorophyll_plate_28.tif,28.661,19678.545,11760,30192
99,E11_01_1_1_Chlorophyll_plate_28.tif,26.056,18820.800,12080,28400
100,E11_01_1_1_Chlorophyll_plate_28.tif,36.478,20050.286,13936,30896
