 ,Label,Area,Mean,Min,Max
1,F3_01_1_2_Chlorophyll_plate_28.tif,28.661,16773.818,11328,24704
2,F3_01_1_2_Chlorophyll_plate_28.tif,31.267,20296.000,10576,31904
3,F3_01_1_2_Chlorophyll_plate_28.tif,44.295,24226.824,10336,45152
4,F3_01_1_2_Chlorophyll_plate_28.tif,39.084,22606.933,11808,36320
5,F3_01_1_2_Chlorophyll_plate_28.tif,36.478,25523.429,11696,40048
6,F3_01_1_2_Chlorophyll_plate_28.tif,31.267,17145.333,12320,23280
7,F3_01_1_2_Chlorophyll_plate_28.tif,49.506,21694.316,11728,35712
8,F3_01_1_2_Chlorophyll_plate_28.tif,33.873,22606.769,12896,38080
9,F3_01_1_2_Chlorophyll_plate_28.tif,33.873,22609.231,10512,36928
10,F3_01_1_2_Chlorophyll_plate_28.tif,39.084,15922.133,10384,24544
11,F3_01_1_2_Chlorophyll_plate_28.tif,26.056,16985.600,11216,25904
12,F3_01_1_2_Chlorophyll_plate_28.tif,39.084,24606.933,11056,40832
13,F3_01_1_2_Chlorophyll_plate_28.tif,54.717,24044.190,10512,47680
14,F3_01_1_2_Chlorophyll_plate_28.tif,33.873,18835.692,10272,30688
15,F3_01_1_2_Chlorophyll_plate_28.tif,36.478,19264.000,10512,29808
16,F3_01_1_2_Chlorophyll_plate_28.tif,31.267,20308.000,10432,32688
17,F3_01_1_2_Chlorophyll_plate_28.tif,36.478,22482.286,10640,36544
18,F3_01_1_2_Chlorophyll_plate_28.tif,41.689,20731.000,11232,34288
19,F3_01_1_2_Chlorophyll_plate_28.tif,36.478,19795.429,10816,32528
20,F3_01_1_2_Chlorophyll_plate_28.tif,36.478,19371.429,12464,29216
21,F3_01_1_2_Chlorophyll_plate_28.tif,36.478,19131.429,10272,29600
22,F3_01_1_2_Chlorophyll_plate_28.tif,46.900,21669.333,11552,34480
23,F3_01_1_2_Chlorophyll_plate_28.tif,28.661,18455.273,11072,31744
24,F3_01_1_2_Chlorophyll_plate_28.tif,33.873,19718.154,12624,30416
25,F3_01_1_2_Chlorophyll_plate_28.tif,36.478,21699.429,11776,34976
26,F3_01_1_2_Chlorophyll_plate_28.tif,36.478,18740.571,10912,26304
27,F3_01_1_2_Chlorophyll_plate_28.tif,28.661,16382.545,10384,24112
28,F3_01_1_2_Chlorophyll_plate_28.tif,41.689,20349.000,12336,30432
29,F3_01_1_2_Chlorophyll_plate_28.tif,33.873,20144.000,10416,33392
30,F3_01_1_2_Chlorophyll_plate_28.tif,46.900,18271.111,10368,28912
31,F3_01_1_2_Chlorophyll_plate_28.tif,26.056,20443.200,11744,31632
32,F3_01_1_2_Chlorophyll_plate_28.tif,33.873,22524.308,14352,35824
33,F3_01_1_2_Chlorophyll_plate_28.tif,62.534,26594.667,11776,57760
34,F3_01_1_2_Chlorophyll_plate_28.tif,31.267,19180.000,10768,29088
35,F3_01_1_2_Chlorophyll_plate_28.tif,46.900,21427.556,11376,36448
36,F3_01_1_2_Chlorophyll_plate_28.tif,28.661,20400.000,11008,29632
37,F3_01_1_2_Chlorophyll_plate_28.tif,39.084,19360.000,10432,31680
38,F3_01_1_2_Chlorophyll_plate_28.tif,26.056,26601.600,13024,46752
39,F3_01_1_2_Chlorophyll_plate_28.tif,36.478,19214.857,10240,28880
40,F3_01_1_2_Chlorophyll_plate_28.tif,46.900,19269.333,10256,31888
41,F3_01_1_2_Chlorophyll_plate_28.tif,36.478,21811.429,10464,37408
42,F3_01_1_2_Chlorophyll_plate_28.tif,33.873,17870.769,10272,30208
43,F3_01_1_2_Chlorophyll_plate_28.tif,28.661,15108.364,10608,20832
44,F3_01_1_2_Chlorophyll_plate_28.tif,41.689,20878.000,10224,35248
45,F3_01_1_2_Chlorophyll_plate_28.tif,52.112,25536.800,10560,48880
46,F3_01_1_2_Chlorophyll_plate_28.tif,33.873,16093.538,10416,22960
47,F3_01_1_2_Chlorophyll_plate_28.tif,31.267,18874.667,10624,31696
48,F3_01_1_2_Chlorophyll_plate_28.tif,33.873,19940.923,10416,36224
49,F3_01_1_2_Chlorophyll_plate_28.tif,26.056,21633.600,11504,38304
50,F3_01_1_2_Chlorophyll_plate_28.tif,26.056,16884.800,10416,27216
51,F3_01_1_2_Chlorophyll_plate_28.tif,36.478,19595.429,11216,31728
52,F3_01_1_2_Chlorophyll_plate_28.tif,33.873,17700.923,12512,25312
53,F3_01_1_2_Chlorophyll_plate_28.tif,26.056,16264.000,10896,23776
54,F3_01_1_2_Chlorophyll_plate_28.tif,26.056,22489.600,12544,37472
55,F3_01_1_2_Chlorophyll_plate_28.tif,26.056,18596.800,10704,28752
