 ,Label,Area,Mean,Min,Max
1,F9_01_1_2_Chlorophyll_plate_28.tif,31.267,480.000,432,640
2,F9_01_1_2_Chlorophyll_plate_28.tif,39.084,493.867,432,656
3,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,494.400,432,592
4,F9_01_1_2_Chlorophyll_plate_28.tif,31.267,518.667,432,688
5,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,520.000,432,704
6,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,490.182,432,592
7,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,512.000,448,704
8,F9_01_1_2_Chlorophyll_plate_28.tif,39.084,500.267,432,576
9,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,496.000,448,576
10,F9_01_1_2_Chlorophyll_plate_28.tif,31.267,513.333,448,656
11,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,515.200,432,624
12,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,492.800,432,592
13,F9_01_1_2_Chlorophyll_plate_28.tif,31.267,532.000,432,656
14,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,507.636,448,736
15,F9_01_1_2_Chlorophyll_plate_28.tif,31.267,521.333,432,624
16,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,506.182,432,608
17,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,510.545,432,640
18,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,496.000,432,704
19,F9_01_1_2_Chlorophyll_plate_28.tif,31.267,508.000,432,640
20,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,499.200,432,624
21,F9_01_1_2_Chlorophyll_plate_28.tif,41.689,489.000,432,560
22,F9_01_1_2_Chlorophyll_plate_28.tif,49.506,497.684,432,608
23,F9_01_1_2_Chlorophyll_plate_28.tif,36.478,529.143,432,688
24,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,510.545,448,624
25,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,497.600,432,640
26,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,494.400,432,576
27,F9_01_1_2_Chlorophyll_plate_28.tif,31.267,509.333,432,576
28,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,475.636,432,544
29,F9_01_1_2_Chlorophyll_plate_28.tif,31.267,484.000,432,608
30,F9_01_1_2_Chlorophyll_plate_28.tif,31.267,521.333,432,688
31,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,509.091,448,672
32,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,488.000,432,576
33,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,531.200,448,752
34,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,483.200,432,592
35,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,536.000,432,688
36,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,510.545,432,640
37,F9_01_1_2_Chlorophyll_plate_28.tif,31.267,521.333,432,720
38,F9_01_1_2_Chlorophyll_plate_28.tif,36.478,466.286,432,528
39,F9_01_1_2_Chlorophyll_plate_28.tif,33.873,498.462,448,640
40,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,523.636,432,688
41,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,513.600,432,624
42,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,491.200,432,592
43,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,515.200,448,752
44,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,515.200,432,720
45,F9_01_1_2_Chlorophyll_plate_28.tif,31.267,512.000,448,640
46,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,530.909,432,688
47,F9_01_1_2_Chlorophyll_plate_28.tif,33.873,491.077,432,624
48,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,520.000,432,688
49,F9_01_1_2_Chlorophyll_plate_28.tif,31.267,497.333,432,656
50,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,553.600,448,736
51,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,491.636,432,608
52,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,513.455,448,608
53,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,459.200,432,560
54,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,515.200,432,640
55,F9_01_1_2_Chlorophyll_plate_28.tif,36.478,518.857,448,592
56,F9_01_1_2_Chlorophyll_plate_28.tif,31.267,512.000,432,704
57,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,489.600,432,576
58,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,494.400,432,608
59,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,555.200,480,640
60,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,460.800,432,576
61,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,464.000,432,592
62,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,478.400,432,624
63,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,497.600,432,592
64,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,496.000,432,624
65,F9_01_1_2_Chlorophyll_plate_28.tif,28.661,522.182,432,672
66,F9_01_1_2_Chlorophyll_plate_28.tif,31.267,498.667,432,592
67,F9_01_1_2_Chlorophyll_plate_28.tif,26.056,481.600,432,640
